Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Chelsea,8,6,1,1,32,3,+29,19,2.38,1247,Fran Kirby - 6,Carly Telford,
2,Manchester City,8,6,1,1,17,6,+11,19,2.38,1618,Toni Duggan - 4,Ellie Roebuck Marie Hourihan,
3,Arsenal,8,5,3,0,22,9,+13,18,2.25,879,Danielle Carter Jordan Nobbs - 4,Sari van Veenendaal,
4,Liverpool,8,4,2,2,20,18,+2,14,1.75,805,Caroline Weir - 5,Siobhan Chamberlain,
5,Sunderland,8,2,3,3,4,14,-10,9,1.13,629,Lucy Staniforth - 2,Anke Preuß,
6,Reading,8,2,2,4,10,15,-5,8,1.00,637,Melissa Fletcher - 3,Mary Earps,
7,Birmingham City,8,1,4,3,6,10,-4,7,0.88,753,Ellen White Rachel Williams - 2,Ann-Katrin Berger,
8,Bristol City,8,1,1,6,5,21,-16,4,0.50,1003,Lauren Hemp Chloe Arthur... - 1,Caitlin Leach,
9,Yeovil Town,8,0,1,7,6,26,-20,1,0.13,744,Sarah Wiltshire Lindsay Rogers - 2,Megan Walsh,
