Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Chelsea,15,12,3,0,47,11,+36,39,2.60,39.8,9.8,+30.0,+2.00,5991,Bethany England - 14,Ann-Katrin Berger,→ Champions League via league finish
2,Manchester City,16,13,1,2,39,9,+30,40,2.50,32.9,14.2,+18.6,+1.16,5378,Pauline Bremer - 10,Ellie Roebuck,→ Champions League via league finish
3,Arsenal,15,12,0,3,40,13,+27,36,2.40,32.9,11.4,+21.5,+1.43,2209,Vivianne Miedema - 16,Manuela Zinsberger,
4,Manchester Utd,14,7,2,5,24,12,+12,23,1.64,24.5,13.0,+11.5,+0.82,2101,Lauren James - 6,Mary Earps,
5,Reading,14,6,3,5,21,24,-3,21,1.50,23.2,18.7,+4.5,+0.32,894,Fara Williams - 5,Grace Moloney,
6,Everton,14,6,1,7,21,21,0,19,1.36,16.1,21.4,-5.3,-0.38,378,Chloe Kelly - 9,Tinja-Riikka Korpela,
7,Tottenham,15,6,2,7,15,24,-9,20,1.33,16.7,26.2,-9.4,-0.63,6204,Rianna Dean - 4,Rebecca Spencer,
8,West Ham,14,5,1,8,19,34,-15,16,1.14,15.4,28.8,-13.5,-0.96,5002,Adriana Leon - 5,Courtney Brosnan,
9,Brighton,16,3,4,9,11,30,-19,13,0.81,17.9,26.3,-8.3,-0.52,1311,Aileen Whelan - 5,Megan Walsh,
10,Bristol City,14,2,3,9,9,38,-29,9,0.64,9.0,35.3,-26.3,-1.88,1215,Ebony Salmon - 5,Sophie Baggaley,
11,Birmingham City,13,2,1,10,5,23,-18,7,0.54,6.9,23.1,-16.1,-1.24,875,Abbi Grant - 2,Hannah Hampton,
12,Liverpool,14,1,3,10,8,20,-12,6,0.43,12.9,20.0,-7.1,-0.51,4606,Rachel Furness - 4,Anke Preuß,Relegated
