Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Chelsea,22,18,3,1,69,10,+59,57,2.59,53.6,12.7,+40.9,+1.86,24,Sam Kerr - 21,Ann-Katrin Berger,→ Champions League via league finish
2,Manchester City,22,17,4,1,65,13,+52,55,2.50,54.1,11.0,+43.1,+1.96,,Chloe Kelly Ellen White - 10,Ellie Roebuck,→ Champions League via league finish
3,Arsenal,22,15,3,4,63,15,+48,48,2.18,48.2,14.5,+33.7,+1.53,,Vivianne Miedema - 18,Manuela Zinsberger,→ Champions League via league finish
4,Manchester Utd,22,15,2,5,44,20,+24,47,2.14,38.9,18.8,+20.1,+0.91,,Ella Toone - 9,Mary Earps,
5,Everton,22,9,5,8,39,30,+9,32,1.45,29.4,27.1,+2.3,+0.10,,Izzy Christiansen Simone Magill - 6,Sandy MacIver,
6,Brighton,22,8,3,11,21,41,-20,27,1.23,17.8,35.8,-18.0,-0.82,75,Inessa Kaagman - 8,Megan Walsh,
7,Reading,22,5,9,8,25,41,-16,24,1.09,26.0,33.3,-7.2,-0.33,,Rachel Rowe - 5,Grace Moloney,
8,Tottenham,22,5,5,12,18,41,-23,20,0.91,16.5,32.5,-16.0,-0.76,,Ashleigh Neville Angela Addison... - 2,Rebecca Spencer,
9,West Ham,22,3,6,13,21,39,-18,15,0.68,19.8,38.2,-18.4,-0.84,,Martha Thomas Emily van Egmond - 4,Mackenzie Arnold,
10,Aston Villa,22,3,6,13,15,47,-32,15,0.68,13.5,35.3,-21.8,-0.99,,Ramona Petzelberger - 3,Lisa Weiß,
11,Birmingham City,22,3,6,13,15,44,-29,14,0.64,10.6,35.0,-24.4,-1.16,,Claudia Walker - 5,Hannah Hampton,1-point deduction 1
12,Bristol City,22,2,6,14,18,72,-54,12,0.55,15.4,49.7,-34.3,-1.56,,Ebony Salmon - 6,Sophie Baggaley,Relegated
