Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sun,2018-09-09,12:30,Arsenal,2.4,5–0,0.6,Liverpool,1173,Meadow Park,Jason Richardson,Match Report,
1,Sun,2018-09-09,14:00,Birmingham City,1.1,1–0,0.2,Everton,603,Damson Park,James Bell,Match Report,
1,Sun,2018-09-09,14:00,Brighton,0.6,0–1,0.6,Bristol City,414,Checkatrade.com Stadium,Jack Packman,Match Report,
1,Sun,2018-09-09,14:00,Chelsea,0.6,0–0,0.7,Manchester City,2501,Cherry Red Records Fans' Stadium,Rebecca Welch,Match Report,
1,Sun,2018-09-09,14:00,Reading,4.2,4–0,0.7,Yeovil Town,464,Adams Park,Helen Conley,Match Report,
,,,,,,,,,,,,,
2,Wed,2018-09-19,19:00,Bristol City,0.1,0–0,1.3,Chelsea,,Stoke Gifford Stadium,Stacey Pearson,Match Report,
2,Wed,2018-09-19,19:30,Birmingham City,1.0,1–0,0.6,Brighton,449,Damson Park,James Oldham,Match Report,
2,Wed,2018-09-19,19:45,West Ham,0.5,0–0,1.4,Reading,658,The Rush Green Bowl,Abby Marriott,Match Report,
2,Wed,2018-09-19,19:45,Yeovil Town,0.5,0–7,3.4,Arsenal,1101,Jewson Stadium,Scott Jackson,Match Report,
2,Thu,2018-09-20,19:00,Everton,0.7,0–4,2.5,Manchester City,296,Haig Avenue,Lucy Oliver,Match Report,
,,,,,,,,,,,,,
3,Sun,2018-09-23,12:15,Brighton,0.5,0–1,0.4,Liverpool,443,Checkatrade.com Stadium,Amy Fearn,Match Report,
3,Sun,2018-09-23,14:00,Manchester City,4.0,2–2,1.2,Bristol City,1338,Academy Stadium,Asaka Koizumi,Match Report,
3,Sun,2018-09-23,14:00,Reading,1.9,0–1,2.3,Birmingham City,693,Adams Park,Jacob Miles,Match Report,
3,Sun,2018-09-23,14:00,Everton,0.4,0–0,1.2,Chelsea,213,Haig Avenue,Helen Conley,Match Report,
3,Sun,2018-09-23,14:00,Arsenal,3.5,4–3,0.9,West Ham,1081,Meadow Park,Paul Howard,Match Report,
,,,,,,,,,,,,,
4,Sun,2018-09-30,12:30,Birmingham City,0.5,2–3,1.5,Manchester City,824,Damson Park,Wayne Cartmel,Match Report,
4,Sun,2018-09-30,14:00,Liverpool,0.2,0–1,0.8,Reading,382,Prenton Park,David McNamara,Match Report,
4,Sun,2018-09-30,14:00,Chelsea,1.9,2–0,0.6,Brighton,1175,Cherry Red Records Fans' Stadium,Abby Marriott,Match Report,
4,Sun,2018-09-30,15:00,West Ham,2.2,2–1,1.0,Yeovil Town,367,The Rush Green Bowl,David Spain,Match Report,
,,,,,,,,,,,,,
