Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sun,2018-10-14,12:30,Manchester City,3.0,7–1,1.2,West Ham,1245,Academy Stadium,Rebecca Welch,Match Report,
5,Sun,2018-10-14,14:00,Chelsea,0.7,0–5,2.2,Arsenal,2020,Cherry Red Records Fans' Stadium,Sam Purkiss,Match Report,
5,Sun,2018-10-14,14:00,Everton,0.9,3–3,1.9,Brighton,210,Haig Avenue,Steven Copeland,Match Report,
5,Sun,2018-10-14,14:00,Liverpool,3.3,2–1,0.2,Yeovil Town,423,Prenton Park,Helen Conley,Match Report,
5,Sun,2018-10-14,15:00,Bristol City,0.0,0–1,1.8,Birmingham City,468,Stoke Gifford Stadium,Samuel Allison,Match Report,
,,,,,,,,,,,,,
6,Sun,2018-10-21,12:30,Birmingham City,0.0,0–0,3.1,Chelsea,1177,Damson Park,Amy Fearn,Match Report,
6,Sun,2018-10-21,14:00,Arsenal,3.8,6–0,0.4,Reading,1586,Meadow Park,Abby Marriott,Match Report,
6,Sun,2018-10-21,14:00,Brighton,1.0,0–6,2.7,Manchester City,815,Checkatrade.com Stadium,Lucy Oliver,Match Report,
6,Sun,2018-10-21,15:00,West Ham,0.5,0–1,1.7,Liverpool,1966,The Rush Green Bowl,Jack Packman,Match Report,
6,Sun,2018-10-21,15:00,Yeovil Town,0.5,1–2,2.3,Bristol City,583,Jewson Stadium,Scott Jackson,Match Report,
,,,,,,,,,,,,,
7,Fri,2018-10-26,19:00,Manchester City,1.3,1–1,1.5,Reading,1015,Academy Stadium,David McNamara,Match Report,
7,Sun,2018-10-28,12:30,Chelsea,1.7,1–0,0.3,Liverpool,1528,Cherry Red Records Fans' Stadium,Stacey Pearson,Match Report,
7,Sun,2018-10-28,14:00,Everton,1.2,1–2,2.3,West Ham,143,Haig Avenue,Aaron Jackson,Match Report,
7,Sun,2018-10-28,14:00,Brighton,2.3,2–1,1.2,Yeovil Town,562,Checkatrade.com Stadium,Jacob Miles,Match Report,
7,Sun,2018-10-28,15:00,Bristol City,0.1,0–4,4.4,Arsenal,658,Stoke Gifford Stadium,Daniel Lamport,Match Report,
,,,,,,,,,,,,,
8,Sun,2018-11-04,12:30,Arsenal,1.9,3–1,0.2,Birmingham City,1431,Meadow Park,Rebecca Welch,Match Report,
8,Sun,2018-11-04,14:00,Reading,1.7,3–0,0.3,Bristol City,482,Adams Park,Abigail Marnot,Match Report,
8,Sun,2018-11-04,14:00,Liverpool,0.2,0–3,2.3,Manchester City,661,Prenton Park,Abigail Marnot,Match Report,
8,Sun,2018-11-04,15:00,Yeovil Town,0.3,1–0,2.3,Everton,732,The Rush Green Bowl,Phillip Staynings,Match Report,
8,Sun,2018-11-04,15:00,West Ham,0.2,0–2,1.9,Chelsea,962,Jewson Stadium,Rebecca Welch,Match Report,
,,,,,,,,,,,,,
10,Sat,2018-11-17,15:00,Bristol City,1.4,2–1,1.3,Liverpool,554,Stoke Gifford Stadium,Richard Gardner,Match Report,
10,Sun,2018-11-18,12:30,Everton,0.6,0–4,2.5,Arsenal,370,Haig Avenue,Lucy Oliver,Match Report,
10,Sun,2018-11-18,14:00,Brighton,0.2,1–4,1.1,Reading,330,Checkatrade.com Stadium,Ryan Atkin,Match Report,
10,Sun,2018-11-18,14:00,Birmingham City,2.3,3–0,0.9,West Ham,663,Damson Park,Stacey Pearson,Match Report,
10,Sun,2018-11-18,14:00,Chelsea,3.8,5–0,0.0,Yeovil Town,1484,Cherry Red Records Fans' Stadium,Kirsty Dowle,Match Report,
,,,,,,,,,,,,,
11,Sun,2018-11-25,12:30,Arsenal,2.4,4–1,0.3,Brighton,1237,Meadow Park,Rob Whitton,Match Report,
11,Sun,2018-11-25,14:00,Liverpool,0.2,0–2,1.4,Birmingham City,336,Prenton Park,Sam Mulhall,Match Report,
11,Sun,2018-11-25,14:00,Reading,1.6,2–1,1.2,Everton,285,Adams Park,Amy Fearn,Match Report,
11,Sun,2018-11-25,15:00,West Ham,1.7,2–0,0.4,Bristol City,562,The Rush Green Bowl,Helen Conley,Match Report,
11,Sun,2018-11-25,15:00,Yeovil Town,1.2,0–4,4.8,Manchester City,1153,Jewson Stadium,Amy Fearn,Match Report,
,,,,,,,,,,,,,
12,Sun,2018-12-02,12:00,Everton,1.0,2–1,2.2,Liverpool,258,Haig Avenue,Simon Mather,Match Report,
12,Sun,2018-12-02,12:30,Manchester City,1.3,2–0,0.6,Arsenal,2149,Academy Stadium,Abby Marriott,Match Report,
12,Sun,2018-12-02,14:00,Brighton,0.7,0–1,1.1,West Ham,376,Checkatrade.com Stadium,Kirsty Dowle,Match Report,
12,Sun,2018-12-02,14:00,Birmingham City,1.8,2–1,1.0,Yeovil Town,662,Damson Park,Jane Simms,Match Report,
12,Sun,2018-12-02,14:00,Chelsea,2.1,1–0,0.4,Reading,1741,Cherry Red Records Fans' Stadium,Lucy Oliver,Match Report,
,,,,,,,,,,,,,
13,Sun,2018-12-09,12:15,Manchester City,1.1,1–0,0.5,Birmingham City,1157,Academy Stadium,,Match Report,
13,Sun,2018-12-09,14:00,Reading,1.5,2–2,0.8,Liverpool,582,Adams Park,,Match Report,
13,Sun,2018-12-09,14:00,Everton,0.8,0–2,1.0,Bristol City,,Haig Avenue,,Match Report,
13,Sun,2018-12-09,14:30,Brighton,0.8,0–4,3.0,Chelsea,733,Checkatrade.com Stadium,,Match Report,
13,Sun,2018-12-09,15:00,Yeovil Town,0.4,0–5,3.5,West Ham,516,Jewson Stadium,,Match Report,
,,,,,,,,,,,,,
14,Sun,2019-01-06,12:30,West Ham,0.8,2–4,2.3,Arsenal,913,The Rush Green Bowl,Will Finnie,Match Report,
14,Sun,2019-01-06,14:00,Liverpool,0.6,0–2,1.4,Brighton,398,Prenton Park,Elizabeth Simms,Match Report,
14,Sun,2019-01-06,14:00,Chelsea,3.3,3–0,0.8,Everton,3221,Cherry Red Records Fans' Stadium,Lee Brennan,Match Report,
14,Sun,2019-01-06,14:00,Birmingham City,1.3,2–1,1.2,Reading,606,Damson Park,Robert Massey Ellis,Match Report,
14,Sun,2019-01-06,15:00,Bristol City,1.0,1–1,2.0,Manchester City,812,Stoke Gifford Stadium,James Durkin,Match Report,
,,,,,,,,,,,,,
15,Sun,2019-01-13,12:30,Arsenal,1.0,1–2,1.5,Chelsea,3019,Meadow Park,Rebecca Welch,Match Report,
15,Sun,2019-01-13,14:00,Brighton,0.3,0–0,0.7,Everton,454,Checkatrade.com Stadium,Sunny Gill,Match Report,
15,Sun,2019-01-13,14:00,Birmingham City,0.7,0–1,0.8,Bristol City,610,Damson Park,Lisa Benn,Match Report,
15,Sun,2019-01-13,15:00,Yeovil Town,0.6,1–2,1.7,Liverpool,984,Jewson Stadium,,Match Report,
15,Sun,2019-01-13,15:00,West Ham,0.9,1–3,1.9,Manchester City,640,The Rush Green Bowl,Jason Richardson,Match Report,
,,,,,,,,,,,,,
16,Sun,2019-01-27,12:30,Reading,0.4,0–3,1.9,Arsenal,1269,Adams Park,,Match Report,
16,Sun,2019-01-27,14:00,Chelsea,0.9,2–3,1.2,Birmingham City,2053,Cherry Red Records Fans' Stadium,,Match Report,
16,Sun,2019-01-27,14:00,Manchester City,3.4,3–0,0.2,Brighton,1279,Academy Stadium,,Match Report,
16,Sun,2019-01-27,15:00,Bristol City,1.3,2–1,0.9,Yeovil Town,616,Stoke Gifford Stadium,,Match Report,
16,Mon,2019-01-28,19:00,Liverpool,0.6,1–0,0.6,West Ham,186,Prenton Park,Rebecca Welch,Match Report,
,,,,,,,,,,,,,
9,Sun,2019-02-10,13:00,Manchester City,2.3,2–2,1.7,Chelsea,3078,Academy Stadium,Matthew Dicicco,Match Report,
9,Sun,2019-02-10,15:00,Bristol City,0.4,0–0,1.6,Brighton,256,Stoke Gifford Stadium,,Match Report,
,,,,,,,,,,,,,
17,Wed,2019-02-20,19:00,Manchester City,2.3,3–1,1.2,Everton,864,Academy Stadium,,Match Report,
17,Wed,2019-02-20,19:30,Reading,1.2,1–2,1.2,West Ham,2148,Madejski Stadium,Rebecca Welch,Match Report,
17,Wed,2019-02-20,19:30,Chelsea,2.8,6–0,0.2,Bristol City,1821,Cherry Red Records Fans' Stadium,Tom Bishop,Match Report,
17,Wed,2019-02-20,19:30,Arsenal,3.0,3–0,0.1,Yeovil Town,1107,Meadow Park,,Match Report,
17,Wed,2019-02-20,19:45,Brighton,1.4,2–1,1.1,Birmingham City,358,Culver Road,,Match Report,
,,,,,,,,,,,,,
18,Wed,2019-03-13,19:00,Liverpool,0.1,0–4,2.5,Chelsea,237,Prenton Park,,Match Report,
18,Wed,2019-03-13,19:30,Reading,2.7,3–4,2.8,Manchester City,449,Adams Park,,Match Report,
18,Wed,2019-03-13,19:45,West Ham,0.4,0–1,1.1,Everton,607,The Rush Green Bowl,,Match Report,
18,Wed,2019-03-13,19:45,Yeovil Town,0.7,1–1,2.6,Brighton,408,Jewson Stadium,,Match Report,
18,Thu,2019-03-14,19:30,Arsenal,1.9,4–0,0.5,Bristol City,5265,Meadow Park,Rob Whitton,Match Report,
,,,,,,,,,,,,,
9,Sun,2019-03-24,12:30,Liverpool,1.3,1–5,2.3,Arsenal,506,Prenton Park,Rebecca Welch,Match Report,
,,,,,,,,,,,,,
4,Sun,2019-03-24,15:00,Bristol City,0.4,1–0,2.2,Everton,495,Stoke Gifford Stadium,Stacey Pearson,Match Report,
,,,,,,,,,,,,,
19,Sun,2019-03-31,12:30,Birmingham City,0.5,0–1,1.4,Arsenal,1520,Damson Park,,Match Report,
19,Sun,2019-03-31,14:00,Chelsea,2.8,1–1,0.4,West Ham,2854,Cherry Red Records Fans' Stadium,,Match Report,
19,Sun,2019-03-31,14:00,Everton,0.9,0–1,0.1,Yeovil Town,230,Haig Avenue,,Match Report,
19,Sun,2019-03-31,14:00,Manchester City,2.6,2–1,0.9,Liverpool,1568,Academy Stadium,,Match Report,
19,Sun,2019-03-31,15:00,Bristol City,0.4,0–1,2.1,Reading,391,Stoke Gifford Stadium,Samuel Allison,Match Report,
,,,,,,,,,,,,,
9,Wed,2019-04-17,19:00,Everton,2.4,1–3,1.7,Birmingham City,103,Haig Avenue,,Match Report,
9,Wed,2019-04-17,19:45,Yeovil Town,2.1,0–5,2.5,Reading,407,Jewson Stadium,Scott Jackson,Match Report,
,,,,,,,,,,,,,
20,Sat,2019-04-20,13:00,Reading,1.5,1–0,1.0,Brighton,1119,Madejski Stadium,,Match Report,
20,Sun,2019-04-21,12:30,Arsenal,1.3,2–1,0.1,Everton,2003,Meadow Park,Stacey Pearson,Match Report,
20,Sun,2019-04-21,14:00,Liverpool,2.6,5–2,0.9,Bristol City,324,Prenton Park,Lucy Oliver,Match Report,
20,Sun,2019-04-21,15:00,West Ham,0.1,1–2,1.1,Birmingham City,706,The Rush Green Bowl,,Match Report,
,,,,,,,,,,,,,
21,Sun,2019-04-28,14:00,Birmingham City,1.6,2–0,0.4,Liverpool,1545,St Andrew's Trillion Trophy Stadium,,Match Report,
21,Sun,2019-04-28,14:00,Everton,0.7,3–2,0.8,Reading,174,Haig Avenue,Andrew Kitchen,Match Report,
21,Sun,2019-04-28,14:15 (12:15),Brighton,0.2,0–4,2.0,Arsenal,5265,Al-Shaab Stadium,Lucy Oliver,Match Report,
21,Sun,2019-04-28,15:00,Bristol City,0.7,1–2,1.7,West Ham,602,Stoke Gifford Stadium,Richard Holme,Match Report,
21,Sun,2019-04-28,15:00 (14:00),Manchester City,3.8,2–1,0.5,Yeovil Town,1369,Cairo Military Academy Stadium 2,Richard Aspinall,Match Report,
,,,,,,,,,,,,,
20,Tue,2019-05-07,19:45,Yeovil Town,0.2,0–8,3.5,Chelsea,843,Jewson Stadium,Gary Parsons,Match Report,
,,,,,,,,,,,,,
22,Sat,2019-05-11,12:30,Liverpool,3.0,3–1,0.7,Everton,1842,Prenton Park,,Match Report,
22,Sat,2019-05-11,12:30,West Ham,0.1,0–4,1.5,Brighton,1412,The Rush Green Bowl,,Match Report,
22,Sat,2019-05-11,12:30,Arsenal,1.5,1–0,0.8,Manchester City,2200,Meadow Park,Rebecca Welch,Match Report,
22,Sat,2019-05-11,12:30,Yeovil Town,0.2,0–2,2.6,Birmingham City,463,Jewson Stadium,Kirsty Dowle,Match Report,
22,Sat,2019-05-11,12:30,Reading,1.5,2–3,3.1,Chelsea,612,Adams Park,,Match Report,
