Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Wed,2018-02-21,19:45,Yeovil Town,0–2,Chelsea,454,Huish Park Stadium,Marc Whaley,Match Report,
Wed,2018-02-21,19:45,Birmingham City,2–0,Manchester City,803,Damson Park,Sian Massey-Ellis,Match Report,
Fri,2018-02-23,19:30,Arsenal,1–0,Everton,813,Meadow Park,Alan Dale,Match Report,
Sat,2018-02-24,12:30,Manchester City,2–2,Chelsea,1417,Academy Stadium,Simon Mather,Match Report,
Sun,2018-03-25,14:00,Birmingham City,4–0,Liverpool,869,Damson Park,Simon Barrow,Match Report,
Sun,2018-03-25,14:00,Chelsea,2–2,Reading,1652,Cherry Red Records Fans' Stadium,Helen Byrne,Match Report,
Wed,2018-03-28,19:00,Sunderland,1–1,Everton,224,Eppleton Colliery Football Ground,Rebecca Welch,Match Report,
Wed,2018-03-28,19:00,Bristol City,0–2,Birmingham City,498,Stoke Gifford Stadium,Stacey Pearson,Match Report,
Wed,2018-03-28,19:45,Reading,3–0,Yeovil Town,197,Adams Park,Dean Hulme,Match Report,
Sun,2018-04-01,12:00,Yeovil Town,0–4,Liverpool,312,Huish Park Stadium,Richard Hulme,Match Report,
Sun,2018-04-01,12:30,Arsenal,1–1,Chelsea,1807,Meadow Park,Paul Howard,Match Report,
Sun,2018-04-01,14:00,Manchester City,0–2,Reading,1274,Academy Stadium,Helen Conley,Match Report,
Sun,2018-04-01,14:00,Birmingham City,2–0,Sunderland,540,Damson Park,Abby Marriott,Match Report,
Fri,2018-04-13,19:45,Yeovil Town,0–4,Reading,223,Huish Park Stadium,Phillip Eddie,Match Report,
Wed,2018-04-18,19:00,Bristol City,0–2,Liverpool,518,Stoke Gifford Stadium,Scott Jackson,Match Report,
Wed,2018-04-18,19:00,Everton,0–1,Chelsea,,Select Security Stadium,Sam Mulhall,Match Report,
Wed,2018-04-18,19:00,Manchester City,3–0,Sunderland,943,Academy Stadium,Aaron Jackson,Match Report,
Wed,2018-04-18,19:30,Arsenal,3–1,Reading,,Meadow Park,Chris O'Donnell,Match Report,
Wed,2018-04-18,19:45,Yeovil Town,0–0,Birmingham City,203,Cherry Red Records Fans' Stadium,Adam Bromley,Match Report,
Sat,2018-04-21,15:00,Yeovil Town,0–0,Arsenal,317,Huish Park Stadium,Abby Marriott,Match Report,
Sat,2018-04-21,18:00,Sunderland,1–2,Bristol City,298,Eppleton Colliery Football Ground,Anthony Tankard,Match Report,
Sun,2018-04-22,12:30,Reading,3–0,Everton,263,Adams Park,Rebecca Welch,Match Report,
Tue,2018-04-24,19:30,Arsenal,3–0,Liverpool,,Meadow Park,Ian Fissenden,Match Report,
Sun,2018-04-29,12:00,Sunderland,0–2,Reading,,Eppleton Colliery Football Ground,Adam Herczeg,Match Report,
Sun,2018-04-29,14:00,Liverpool,1–1,Everton,1416,Select Security Stadium,Martin Woods,Match Report,
Sun,2018-04-29,14:00,Birmingham City,3–0,Arsenal,921,Damson Park,Daniel Middleton,Match Report,
Thu,2018-05-03,19:00,Bristol City,1–6,Manchester City,568,Stoke Gifford Stadium,Sarah Garratt,Match Report,
Sun,2018-05-06,12:30,Everton,1–2,Bristol City,143,Select Security Stadium,Willie Kirk,Match Report,
Tue,2018-05-08,19:00,Liverpool,1–0,Manchester City,653,Select Security Stadium,Daniel Middleton,Match Report,
Wed,2018-05-09,19:00,Chelsea,2–1,Birmingham City,934,Cherry Red Records Fans' Stadium,Ryan Atkin,Match Report,
Wed,2018-05-09,19:00,Everton,3–1,Yeovil Town,130,Select Security Stadium,Thomas Parsons,Match Report,
Sat,2018-05-12,12:00,Yeovil Town,0–2,Bristol City,505,Huish Park Stadium,Conor Farrell,Match Report,
Sat,2018-05-12,12:15,Arsenal,2–1,Manchester City,1514,Meadow Park,Rebecca Welch,Match Report,
Sat,2018-05-12,14:00,Reading,3–0,Liverpool,1379,Adams Park,Lindsey Robinson,Match Report,
Sat,2018-05-12,19:45,Chelsea,2–1,Sunderland,1940,Cherry Red Records Fans' Stadium,Abby Marriott,Match Report,
Sun,2018-05-13,14:00,Everton,0–3,Birmingham City,337,Select Security Stadium,Amy Fearn,Match Report,
Tue,2018-05-15,19:00,Bristol City,0–2,Chelsea,820,Stoke Gifford Stadium,Amy Fearn,Match Report,
Wed,2018-05-16,19:00,Sunderland,0–2,Arsenal,321,Eppleton Colliery Football Ground,John Matthews,Match Report,
Wed,2018-05-16,19:00,Manchester City,5–0,Yeovil Town,715,Academy Stadium,Lindsey Robinson,Match Report,
Sun,2018-05-20,12:30,Sunderland,2–1,Yeovil Town,226,Eppleton Colliery Football Ground,Andrew Miller,Match Report,
Sun,2018-05-20,12:30,Liverpool,2–3,Chelsea,442,Select Security Stadium,Matt Donohue,Match Report,
Sun,2018-05-20,12:30,Bristol City,1–6,Arsenal,724,Stoke Gifford Stadium,Dale Wootton,Match Report,
Sun,2018-05-20,12:30,Manchester City,3–0,Everton,1605,Academy Stadium,Leigh Doughty,Match Report,
Sun,2018-05-20,12:30,Birmingham City,1–1,Reading,1120,Damson Park,Declan Bourne,Match Report,
