Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Fri,2017-09-22,19:45,Chelsea,6–0,Bristol City,1540,Cherry Red Records Fans' Stadium,Jack Packman,Match Report,
Fri,2017-09-22,19:45,Everton,0–2,Liverpool,1439,Select Security Stadium,Sarah Garratt,Match Report,
Sun,2017-09-24,12:30,Reading,0–1,Sunderland,502,Adams Park,Stacey Pearson,Match Report,
Sun,2017-09-24,14:00,Arsenal,3–2,Birmingham City,,Meadow Park,Abigail Marriott,Match Report,
Sun,2017-09-24,14:00,Yeovil Town,0–4,Manchester City,1302,Huish Park Stadium,Adam Bromley,Match Report,
Fri,2017-09-29,19:00,Liverpool,0–3,Reading,481,Select Security Stadium,Joe Hull,Match Report,
Sat,2017-09-30,12:30,Manchester City,5–2,Arsenal,1646,Academy Stadium,Amy Fearn,Match Report,
Sat,2017-09-30,17:30,Bristol City,1–0,Yeovil Town,621,Stoke Gifford Stadium,Andrew Shepherd,Match Report,
Sat,2017-09-30,19:30,Sunderland,0–6,Chelsea,789,Mariners Park,Dean Hulme,Match Report,
Sun,2017-10-01,12:30,Birmingham City,2–1,Everton,821,Damson Park,Daniel Middleton,Match Report,
Sat,2017-10-07,12:30,Chelsea,1–0,Liverpool,2116,Cherry Red Records Fans' Stadium,Amy Fearn,Match Report,
Sat,2017-10-07,19:00,Everton,2–3,Manchester City,735,Select Security Stadium,Thomas Kirk,Match Report,
Sun,2017-10-08,12:30,Arsenal,1–1,Bristol City,,Meadow Park,Sarah Garratt,Match Report,
Sun,2017-10-08,14:00,Yeovil Town,0–1,Sunderland,348,Huish Park Stadium,Richard Holme,Match Report,
Sun,2017-10-08,14:00,Reading,2–2,Birmingham City,655,Adams Park,Joshua Smith,Match Report,
Sat,2017-10-28,17:30,Bristol City,0–5,Reading,573,Stoke Gifford Stadium,Scott Jackson,Match Report,
Sat,2017-10-28,18:00,Sunderland,1–4,Liverpool,429,Mariners Park,John Matthews,Match Report,
Sun,2017-10-29,12:30,Manchester City,3–1,Birmingham City,24408,St Andrew's Trillion Trophy Stadium,Helen Byrne,Match Report,
Sun,2017-10-29,14:00,Chelsea,6–0,Yeovil Town,1821,Cherry Red Records Fans' Stadium,Ian Fissenden,Match Report,
Sun,2017-10-29,14:00,Everton,0–2,Arsenal,435,Select Security Stadium,Lindsey Robinson,Match Report,
Sat,2017-11-11,15:00,Yeovil Town,0–2,Everton,683,Huish Park Stadium,Marc Whaley,Match Report,
Sat,2017-11-11,17:30,Liverpool,1–0,Birmingham City,843,Select Security Stadium,David McNamara,Match Report,
Sun,2017-11-12,12:30,Reading,2–2,Chelsea,1012,Adams Park,Rebecca Welch,Match Report,
Sun,2017-11-12,14:00,Arsenal,3–0,Sunderland,400,Meadow Park,Lloyd Wood,Match Report,
Sun,2017-11-12,14:00,Manchester City,4–0,Bristol City,,Academy Stadium,Helen Conley,Match Report,
Sun,2017-12-10,14:00,Everton,5–1,Sunderland,122,Select Security Stadium,Dean Watson,Match Report,
Sat,2018-01-06,17:30,Liverpool,8–0,Yeovil Town,453,Select Security Stadium,Helen Byrne,Match Report,
Sat,2018-01-06,17:30,Bristol City,2–1,Everton,710,Stoke Gifford Stadium,James Durkin,Match Report,
Sat,2018-01-06,18:00,Sunderland,3–0,Birmingham City,,Eppleton Colliery Football Ground,Paul Brown,Match Report,
Sun,2018-01-07,13:30,Chelsea,3–2,Arsenal,2570,Cherry Red Records Fans' Stadium,Adrian Quelch,Match Report,
Sun,2018-01-07,16:00,Reading,2–5,Manchester City,951,Adams Park,Abby Marriott,Match Report,
Sun,2018-01-14,14:00,Birmingham City,2–0,Bristol City,517,Damson Park,Helen Conley,Match Report,
Sat,2018-01-27,17:30,Liverpool,2–0,Bristol City,461,Select Security Stadium,Amy Fearn,Match Report,
Sun,2018-01-28,12:30,Chelsea,1–0,Everton,1731,Cherry Red Records Fans' Stadium,Rob Whitton,Match Report,
Sun,2018-01-28,14:00,Birmingham City,3–0,Yeovil Town,405,Damson Park,Lindsey Robinson,Match Report,
Sun,2018-01-28,14:00,Reading,0–0,Arsenal,690,Adams Park,Helen Byrne,Match Report,
Sun,2018-01-28,14:00,Sunderland,0–3,Manchester City,978,Eppleton Colliery Football Ground,Helen Conley,Match Report,
Thu,2018-02-01,19:00,Chelsea,0–0,Manchester City,2648,Cherry Red Records Fans' Stadium,Amy Fearn,Match Report,
Wed,2018-02-07,19:00,Liverpool,0–3,Arsenal,461,Select Security Stadium,Rebecca Welch,Match Report,
Sat,2018-02-10,14:00,Birmingham City,0–2,Chelsea,669,Damson Park,Amy Fearn,Match Report,
Sat,2018-02-10,17:30,Bristol City,1–2,Sunderland,448,Stoke Gifford Stadium,Robert Massey Ellis,Match Report,
Sun,2018-02-11,12:30,Manchester City,4–0,Liverpool,2356,Academy Stadium,Scott Simpson,Match Report,
Sun,2018-02-11,14:00,Arsenal,4–0,Yeovil Town,740,Meadow Park,Sarah Grant,Match Report,
Sun,2018-02-11,14:00,Everton,2–1,Reading,274,Select Security Stadium,Lindsey Robinson,Match Report,
Wed,2018-02-21,19:00,Liverpool,3–1,Sunderland,497,Select Security Stadium,Sarah Garratt,Match Report,
Wed,2018-02-21,19:45,Reading,4–0,Bristol City,172,Adams Park,Will Finnie,Match Report,
