Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2020-12-06,14:00,Tottenham,2.4,3–1,1.6,Brighton,,The Hive Stadium,Emily Heaslip,Match Report,
8,Sun,2020-12-06,14:00,Reading,2.7,1–1,1.0,Bristol City,,Madejski Stadium,Lucy Oliver,Match Report,
8,Sun,2020-12-06,14:30,Everton,0.5,0–3,2.4,Manchester City,,Walton Hall Park,Stacey Pearson,Match Report,
,,,,,,,,,,,,,
4,Wed,2020-12-09,19:30,Bristol City,0.5,0–4,1.6,Aston Villa,,Twerton Park Stadium,Amy Fearn,Match Report,
,,,,,,,,,,,,,
9,Sun,2020-12-13,12:30,Reading,0.5,1–2,1.9,Manchester Utd,,Madejski Stadium,Helen Conley,Match Report,
9,Sun,2020-12-13,14:00,Bristol City,0.4,0–4,2.0,West Ham,,Twerton Park Stadium,Jane Simms,Match Report,
9,Sun,2020-12-13,14:00,Brighton,0.1,0–1,0.7,Chelsea,457,The People’s Pension Stadium,Lisa Benn,Match Report,
9,Sun,2020-12-13,14:00,Tottenham,1.8,3–1,0.5,Aston Villa,,The Hive Stadium,Sarah Garratt,Match Report,
9,Sun,2020-12-13,14:30,Manchester City,1.8,2–1,0.1,Arsenal,,Academy Stadium,Emily Heaslip,Match Report,
,,,,,,,,,,,,,
10,Sun,2020-12-20,12:00,Manchester Utd,1.8,6–1,0.9,Bristol City,,Leigh Sports Village Stadium,Lisa Benn,Match Report,
10,Sun,2020-12-20,12:30,Arsenal,3.2,4–0,0.2,Everton,,Meadow Park,Helen Conley,Match Report,
10,Sun,2020-12-20,14:30,Brighton,1.6,1–3,0.9,Reading,365,The People’s Pension Stadium,Abigail Bryne,Match Report,
,,,,,,,,,,,,,
11,Sun,2021-01-10,14:00,Reading,0.2,0–5,1.8,Chelsea,,Madejski Stadium,Abigail Bryne,Match Report,
11,Sun,2021-01-10,14:00,Tottenham,,0–0,,Birmingham City,,The Hive Stadium,Jane Simms,Match Report,Match awarded to Tottenham
,,,,,,,,,,,,,
12,Sun,2021-01-17,12:30,Manchester City,3.8,7–0,0.3,Aston Villa,,Academy Stadium,Amy Fearn,Match Report,
12,Sun,2021-01-17,13:00,Everton,2.4,4–0,0.8,Bristol City,,Walton Hall Park,Christiana Hattersley,Match Report,
12,Sun,2021-01-17,14:00,Reading,0.3,1–1,2.9,Arsenal,,Madejski Stadium,Lisa Benn,Match Report,
12,Sun,2021-01-17,14:00,Birmingham City,0.3,0–0,1.0,Brighton,,SportNation.bet Stadium,Helen Conley,Match Report,
12,Sun,2021-01-17,14:30,Chelsea,2.0,2–1,0.2,Manchester Utd,,Cherry Red Records Fans' Stadium,Rebecca Welch,Match Report,
12,Sun,2021-01-17,15:00,West Ham,0.9,0–1,0.9,Tottenham,,Chigwell Construction Stadium,Lucy Oliver,Match Report,
,,,,,,,,,,,,,
13,Sat,2021-01-23,12:30,Aston Villa,0.8,2–2,2.2,Reading,,The Banks's Stadium,Kirsty Dowle,Match Report,
13,Sun,2021-01-24,12:00,Manchester Utd,3.1,2–0,0.0,Birmingham City,,Leigh Sports Village Stadium,Stacey Pearson,Match Report,
13,Sun,2021-01-24,14:00,Brighton,0.2,1–7,4.2,Manchester City,,The People’s Pension Stadium,Lisa Benn,Match Report,
,,,,,,,,,,,,,
5,Wed,2021-01-27,19:00,Aston Villa,0.4,0–4,1.7,Chelsea,,The Banks's Stadium,Helen Conley,Match Report,
,,,,,,,,,,,,,
11,Sat,2021-01-30,14:00,Bristol City,1.6,3–0,0.4,Brighton,,Twerton Park Stadium,Lucy Oliver,Match Report,
,,,,,,,,,,,,,
10,Sun,2021-01-31,12:30,Chelsea,2.5,4–0,0.5,Tottenham,,Cherry Red Records Fans' Stadium,Sarah Garratt,Match Report,
,,,,,,,,,,,,,
11,Sun,2021-01-31,14:00,Manchester City,3.4,4–0,0.1,West Ham,,Academy Stadium,Jane Simms,Match Report,
11,Sun,2021-01-31,14:30,Everton,0.3,0–2,1.5,Manchester Utd,,Walton Hall Park,Kirsty Dowle,Match Report,
,,,,,,,,,,,,,
14,Sat,2021-02-06,12:30,Aston Villa,0.3,1–0,0.4,Tottenham,,The Banks's Stadium,Jane Simms,Match Report,
14,Sun,2021-02-07,12:30,Manchester Utd,1.3,0–2,1.7,Reading,,Leigh Sports Village Stadium,Edward Duckworth,Match Report,
14,Sun,2021-02-07,14:00,Chelsea,2.0,1–2,0.8,Brighton,,Cherry Red Records Fans' Stadium,Christiana Hattersley,Match Report,
14,Sun,2021-02-07,14:00,Everton,0.8,1–1,1.1,Birmingham City,,Walton Hall Park,Lisa Benn,Match Report,
14,Sun,2021-02-07,14:30,Arsenal,0.6,1–2,1.9,Manchester City,,Meadow Park,Kirsty Dowle,Match Report,
14,Sun,2021-02-07,15:00,West Ham,0.3,1–1,1.3,Bristol City,,Chigwell Construction Stadium,Sarah Garratt,Match Report,
,,,,,,,,,,,,,
15,Wed,2021-02-10,19:00,Brighton,1.6,1–0,0.5,West Ham,,The People’s Pension Stadium,Isaac Searle,Match Report,
15,Wed,2021-02-10,19:00,Chelsea,1.2,3–0,0.9,Arsenal,,Cherry Red Records Fans' Stadium,Amy Fearn,Match Report,
15,Fri,2021-02-12,19:00,Manchester City,1.3,3–0,0.5,Manchester Utd,,Academy Stadium,Abigail Bryne,Match Report,
15,Sun,2021-02-14,14:00,Reading,1.7,1–1,0.5,Everton,,Madejski Stadium,Stacey Pearson,Match Report,
,,,,,,,,,,,,,
13,Sun,2021-02-14,15:00,Bristol City,0.1,0–5,3.4,Chelsea,,Twerton Park Stadium,Emily Heaslip,Match Report,
,,,,,,,,,,,,,
10,Sun,2021-02-28,14:00,Birmingham City,0.1,0–4,1.3,Manchester City,,SportNation.bet Stadium,Helen Conley,Match Report,
,,,,,,,,,,,,,
11,Sun,2021-02-28,14:00,Aston Villa,0.3,0–4,2.6,Arsenal,,The Banks's Stadium,Lisa Benn,Match Report,
,,,,,,,,,,,,,
13,Sun,2021-02-28,14:00,Tottenham,0.7,2–3,2.4,Everton,,The Hive Stadium,Abigail Bryne,Match Report,
,,,,,,,,,,,,,
16,Sun,2021-03-07,12:00,Manchester Utd,1.0,3–0,0.0,Aston Villa,,Leigh Sports Village Stadium,Helen Conley,Match Report,
16,Sun,2021-03-07,14:00,Manchester City,1.2,1–0,0.1,Everton,,Academy Stadium,Sarah Garratt,Match Report,
16,Sun,2021-03-07,14:00,Brighton,0.4,2–0,1.2,Tottenham,,The People’s Pension Stadium,Stacey Pearson,Match Report,
16,Sun,2021-03-07,14:00,Birmingham City,0.1,0–4,3.6,Arsenal,,SportNation.bet Stadium,Jane Simms,Match Report,
16,Sun,2021-03-07,15:00,West Ham,0.5,0–2,2.9,Chelsea,,Chigwell Construction Stadium,Rob Whitton,Match Report,
16,Mon,2021-03-08,20:15,Bristol City,0.9,3–2,1.9,Reading,,Twerton Park Stadium,Rebecca Welch,Match Report,
,,,,,,,,,,,,,
9,Thu,2021-03-11,19:00,Birmingham City,0.3,0–4,1.1,Everton,,SportNation.bet Stadium,Lisa Benn,Match Report,
,,,,,,,,,,,,,
17,Sun,2021-03-14,12:30,Reading,0.9,0–0,0.8,Tottenham,,Madejski Stadium,Christiana Hattersley,Match Report,
17,Wed,2021-03-17,19:00,Everton,0.5,0–3,3.4,Chelsea,,Walton Hall Park,Emily Heaslip,Match Report,
17,Wed,2021-03-17,19:30,West Ham,1.3,2–2,1.1,Birmingham City,,Chigwell Construction Stadium,Stacey Pearson,Match Report,
17,Wed,2021-03-17,19:30,Aston Villa,0.8,0–2,1.7,Brighton,,The Banks's Stadium,Rebecca Welch,Match Report,
17,Wed,2021-03-17,19:30,Bristol City,0.3,0–3,2.3,Manchester City,,Twerton Park Stadium,Scott Jackson,Match Report,
17,Fri,2021-03-19,18:30,Arsenal,0.9,2–0,0.8,Manchester Utd,,Meadow Park,Amy Fearn,Match Report,
,,,,,,,,,,,,,
15,Sun,2021-03-21,14:00,Tottenham,1.5,1–1,0.5,Bristol City,,The Hive Stadium,Jane Simms,Match Report,
,,,,,,,,,,,,,
18,Sat,2021-03-27,11:30,Manchester Utd,2.0,2–0,0.5,West Ham,,Leigh Sports Village Stadium,Lisa Benn,Match Report,
18,Sat,2021-03-27,15:30,Tottenham,1.1,0–3,1.8,Arsenal,,The Hive Stadium,Helen Conley,Match Report,
18,Sat,2021-03-27,17:30,Manchester City,2.3,1–0,0.2,Reading,,Academy Stadium,Stacey Pearson,Match Report,
18,Sun,2021-03-28,12:30,Brighton,0.3,0–5,3.0,Everton,,Twerton Park Stadium,Christiana Hattersley,Match Report,
18,Sun,2021-03-28,14:30,Chelsea,1.1,2–0,0.0,Aston Villa,,Cherry Red Records Fans' Stadium,Sarah Garratt,Match Report,
18,Sun,2021-03-28,16:00,Birmingham City,0.6,1–1,1.1,Bristol City,,SportNation.bet Stadium,Kirsty Dowle,Match Report,
,,,,,,,,,,,,,
19,Sat,2021-04-03,14:00,Reading,0.5,0–5,2.2,West Ham,,Madejski Stadium,Kirsty Dowle,Match Report,
19,Sun,2021-04-04,12:30,Chelsea,3.2,6–0,0.4,Birmingham City,,Cherry Red Records Fans' Stadium,Jane Simms,Match Report,
19,Sun,2021-04-04,13:00,Everton,2.2,3–1,0.4,Aston Villa,,Walton Hall Park,Stacey Pearson,Match Report,
19,Sun,2021-04-04,14:00,Bristol City,0.1,0–4,3.6,Arsenal,,Twerton Park Stadium,Sarah Garratt,Match Report,
19,Sun,2021-04-04,14:00,Tottenham,0.1,0–3,1.7,Manchester City,,The Hive Stadium,Amy Fearn,Match Report,
19,Sun,2021-04-04,14:00,Brighton,1.2,1–0,1.2,Manchester Utd,,The People’s Pension Stadium,Abigail Bryne,Match Report,
,,,,,,,,,,,,,
10,Tue,2021-04-20,18:00,West Ham,0.4,0–0,0.0,Aston Villa,,Chigwell Construction Stadium,Amy Fearn,Match Report,
,,,,,,,,,,,,,
20,Wed,2021-04-21,18:00,Manchester City,1.5,2–2,1.6,Chelsea,,Academy Stadium,Rebecca Welch,Match Report,
20,Sat,2021-04-24,12:30,Aston Villa,1.2,2–2,0.5,Bristol City,,The Banks's Stadium,Emily Heaslip,Match Report,
20,Sun,2021-04-25,12:30,Manchester Utd,2.4,4–1,0.1,Tottenham,,Leigh Sports Village Stadium,Christiana Hattersley,Match Report,
20,Sun,2021-04-25,14:00,Arsenal,1.4,2–0,0.2,Brighton,,Meadow Park,Lisa Benn,Match Report,
20,Sun,2021-04-25,14:00,Birmingham City,1.2,1–1,0.7,Reading,,SportNation.bet Stadium,Lucy May,Match Report,
20,Sun,2021-04-25,15:00,West Ham,1.7,0–0,1.1,Everton,,Chigwell Construction Stadium,Helen Conley,Match Report,
,,,,,,,,,,,,,
15,Wed,2021-04-28,19:00,Birmingham City,0.4,1–1,1.0,Aston Villa,,SportNation.bet Stadium,Jane Simms,Match Report,
,,,,,,,,,,,,,
13,Wed,2021-04-28,19:30,Arsenal,1.9,2–0,0.3,West Ham,,Meadow Park,Emily Heaslip,Match Report,
,,,,,,,,,,,,,
21,Sun,2021-05-02,12:30,Aston Villa,0.5,0–0,1.6,West Ham,,The Banks's Stadium,Rebecca Welch,Match Report,
21,Sun,2021-05-02,13:00,Everton,0.4,1–2,1.9,Arsenal,,Walton Hall Park,Sarah Garratt,Match Report,
21,Sun,2021-05-02,14:00,Bristol City,1.0,0–1,2.1,Manchester Utd,,Twerton Park Stadium,Lisa Benn,Match Report,
21,Sun,2021-05-02,14:00,Reading,1.8,3–2,0.5,Brighton,,Madejski Stadium,Jane Simms,Match Report,
21,Sun,2021-05-02,15:00,Manchester City,3.8,4–0,0.0,Birmingham City,,Academy Stadium,Emily Heaslip,Match Report,
21,Wed,2021-05-05,17:30,Tottenham,0.2,0–2,3.5,Chelsea,,The Hive Stadium,Amy Fearn,Match Report,
,,,,,,,,,,,,,
22,Sun,2021-05-09,14:30,Birmingham City,0.2,0–1,0.6,Tottenham,,SportNation.bet Stadium,Lisa Benn,Match Report,
22,Sun,2021-05-09,14:30,Chelsea,2.4,5–0,0.3,Reading,,Cherry Red Records Fans' Stadium,Stacey Pearson,Match Report,
22,Sun,2021-05-09,14:30,West Ham,0.5,0–1,4.7,Manchester City,,Chigwell Construction Stadium,Kirsty Dowle,Match Report,
22,Sun,2021-05-09,14:30,Brighton,1.6,3–1,1.0,Bristol City,,The People’s Pension Stadium,Amy Fearn,Match Report,
22,Sun,2021-05-09,14:30,Manchester Utd,1.0,2–0,0.7,Everton,,Leigh Sports Village Stadium,Louise Saunders,Match Report,
22,Sun,2021-05-09,14:30,Arsenal,1.2,0–0,0.2,Aston Villa,,Meadow Park,Abigail Bryne,Match Report,
