Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2020-09-05,14:30,Aston Villa,0.9,0–2,2.8,Manchester City,,Villa Park,Abigail Bryne,Match Report,
1,Sun,2020-09-06,12:30,Arsenal,4.0,6–1,1.0,Reading,,Meadow Park,Amy Fearn,Match Report,
1,Sun,2020-09-06,14:00,Tottenham,0.7,1–1,1.1,West Ham,,The Hive Stadium,Kirsty Dowle,Match Report,
1,Sun,2020-09-06,14:00,Brighton,1.2,2–0,0.2,Birmingham City,,The People’s Pension Stadium,Rob Whitton,Match Report,
1,Sun,2020-09-06,14:00,Bristol City,0.8,0–4,3.2,Everton,,Twerton Park Stadium,Scott Jackson,Match Report,
1,Sun,2020-09-06,14:30,Manchester Utd,1.4,1–1,3.2,Chelsea,,Leigh Sports Village Stadium,Rebecca Welch,Match Report,
,,,,,,,,,,,,,
2,Sat,2020-09-12,17:20,West Ham,0.1,1–9,3.7,Arsenal,,Chigwell Construction Stadium,Abigail Bryne,Match Report,
2,Sun,2020-09-13,12:30,Chelsea,6.6,9–0,0.1,Bristol City,,Cherry Red Records Fans' Stadium,Stacey Pearson,Match Report,
2,Sun,2020-09-13,13:00,Everton,1.3,1–0,0.4,Tottenham,,Walton Hall Park,Robert Massey Ellis,Match Report,
2,Sun,2020-09-13,14:00,Birmingham City,0.3,2–5,2.5,Manchester Utd,,SportNation.bet Stadium,Lucy Oliver,Match Report,
2,Sun,2020-09-13,14:00,Reading,3.6,3–1,1.2,Aston Villa,,Madejski Stadium,Emily Heaslip,Match Report,
2,Sun,2020-09-13,14:00,Manchester City,2.0,0–0,0.3,Brighton,,Academy Stadium,Helen Conley,Match Report,
,,,,,,,,,,,,,
3,Sat,2020-10-03,12:30,Aston Villa,0.8,0–6,2.4,Everton,,The Banks's Stadium,Kirsty Dowle,Match Report,
3,Sun,2020-10-04,12:00,Manchester Utd,4.5,3–0,0.5,Brighton,,Leigh Sports Village Stadium,Elliot Swallow,Match Report,
3,Sun,2020-10-04,12:30,Manchester City,2.8,4–1,0.2,Tottenham,,Academy Stadium,Stacey Pearson,Match Report,
3,Sun,2020-10-04,14:00,Arsenal,3.2,3–1,0.1,Bristol City,,Meadow Park,Jack Packman,Match Report,
3,Sun,2020-10-04,14:30,Birmingham City,0.1,0–1,1.3,Chelsea,,SportNation.bet Stadium,Abigail Bryne,Match Report,
3,Sun,2020-10-04,15:00,West Ham,1.4,0–1,1.3,Reading,,Chigwell Construction Stadium,Rob Whitton,Match Report,
,,,,,,,,,,,,,
4,Sat,2020-10-10,12:30,Tottenham,0.2,0–1,1.6,Manchester Utd,,The Hive Stadium,Amy Fearn,Match Report,
4,Sun,2020-10-11,12:30,Brighton,0.6,0–5,2.3,Arsenal,,The People’s Pension Stadium,Kirsty Dowle,Match Report,
4,Sun,2020-10-11,13:00,Everton,2.2,3–1,0.7,West Ham,,Walton Hall Park,Edward Duckworth,Match Report,
4,Sun,2020-10-11,14:00,Reading,1.6,0–1,0.5,Birmingham City,,Madejski Stadium,Sarah Garratt,Match Report,
4,Sun,2020-10-11,14:30,Chelsea,2.7,3–1,1.2,Manchester City,,Cherry Red Records Fans' Stadium,Rebecca Welch,Match Report,
,,,,,,,,,,,,,
5,Sun,2020-10-18,12:30,West Ham,0.4,2–4,3.4,Manchester Utd,,Chigwell Construction Stadium,Ryan Atkin,Match Report,
5,Sun,2020-10-18,13:00,Everton,1.7,2–2,0.8,Brighton,,Walton Hall Park,Lucy Oliver,Match Report,
5,Sun,2020-10-18,14:00,Reading,0.2,1–1,1.8,Manchester City,,Madejski Stadium,Savvas Yianni,Match Report,
5,Sun,2020-10-18,14:00,Bristol City,0.4,0–4,2.1,Birmingham City,,Twerton Park Stadium,Helen Conley,Match Report,
5,Sun,2020-10-18,14:30,Arsenal,2.8,6–1,1.2,Tottenham,,Meadow Park,Abigail Bryne,Match Report,
,,,,,,,,,,,,,
6,Sat,2020-11-07,14:00,Tottenham,0.8,1–1,1.6,Reading,,The Hive Stadium,Helen Conley,Match Report,
6,Sat,2020-11-07,15:00,Manchester City,4.4,8–1,0.5,Bristol City,,Academy Stadium,Christiana Hattersley,Match Report,
6,Sun,2020-11-08,12:00,Chelsea,2.0,4–0,0.7,Everton,,Cherry Red Records Fans' Stadium,Abigail Bryne,Match Report,
6,Sun,2020-11-08,14:00,Birmingham City,0.7,1–2,0.9,West Ham,,SportNation.bet Stadium,Richie Watkins,Match Report,
6,Sun,2020-11-08,14:00,Brighton,0.5,0–2,0.7,Aston Villa,,The People’s Pension Stadium,Stacey Pearson,Match Report,
6,Sun,2020-11-08,14:30,Manchester Utd,1.4,1–0,0.5,Arsenal,,Leigh Sports Village Stadium,Peter Shacklady,Match Report,
,,,,,,,,,,,,,
7,Sat,2020-11-14,12:30,Manchester Utd,1.2,2–2,1.7,Manchester City,,Leigh Sports Village Stadium,Amy Fearn,Match Report,
7,Sat,2020-11-14,14:30,Aston Villa,0.7,0–1,0.9,Birmingham City,,The Banks's Stadium,Rebecca Welch,Match Report,
7,Sat,2020-11-14,16:30,Everton,1.5,1–1,0.3,Reading,,Walton Hall Park,Emily Heaslip,Match Report,
7,Sat,2020-11-14,18:30,Bristol City,1.5,2–2,0.8,Tottenham,,Twerton Park Stadium,Lisa Benn,Match Report,
7,Sun,2020-11-15,12:30,West Ham,1.4,0–1,0.7,Brighton,,Chigwell Construction Stadium,Abigail Bryne,Match Report,
7,Sun,2020-11-15,14:30,Arsenal,1.5,1–1,1.0,Chelsea,,Meadow Park,Kirsty Dowle,Match Report,
,,,,,,,,,,,,,
8,Sat,2020-12-05,12:30,Aston Villa,0.8,0–2,1.9,Manchester Utd,,The Banks's Stadium,Abigail Bryne,Match Report,
8,Sun,2020-12-06,12:30,Chelsea,3.3,3–2,1.1,West Ham,266,Cherry Red Records Fans' Stadium,Rebecca Welch,Match Report,
8,Sun,2020-12-06,14:00,Arsenal,3.6,3–0,0.1,Birmingham City,,Meadow Park,Christiana Hattersley,Match Report,
