Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sun,2020-02-02,14:00,Reading,1.8,1–1,0.4,Manchester Utd,1256,Adams Park,Kirsty Dowle,Match Report,
Sun,2020-02-02,14:00,Chelsea,6.5,8–0,0.2,West Ham,3304,Cherry Red Records Fans' Stadium,Amy Fearn,Match Report,
Sun,2020-02-02,14:00,Manchester City,0.5,2–1,2.1,Arsenal,3664,Academy Stadium,Stacey Pearson,Match Report,
Sun,2020-02-02,14:00,Brighton,1.2,1–0,0.6,Everton,830,Checkatrade.com Stadium,Abigail Bryne,Match Report,
Sun,2020-02-09,14:00,Birmingham City,,,,Brighton,,Damson Park,,Match Report,Match Cancelled
Sun,2020-02-09,15:00,Bristol City,,,,Reading,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Wed,2020-02-12,19:00,Chelsea,2.1,2–0,0.1,Birmingham City,1928,Cherry Red Records Fans' Stadium,Rob Whitton,Match Report,
Wed,2020-02-12,19:00,Manchester City,1.1,1–0,0.1,Bristol City,858,Academy Stadium,Edward Duckworth,Match Report,
Wed,2020-02-12,19:30,Tottenham,0.9,2–2,1.7,Everton,388,The Hive Stadium,Lisa Benn,Match Report,
Wed,2020-02-12,19:30,Reading,2.0,2–0,0.0,West Ham,573,Adams Park,Abigail Bryne,Match Report,
Wed,2020-02-12,19:45,Brighton,2.1,1–1,0.6,Manchester Utd,905,Checkatrade.com Stadium,Savvas Yianni,Match Report,
Thu,2020-02-13,19:00,Liverpool,0.8,2–3,1.9,Arsenal,660,Prenton Park,Rebecca Welch,Match Report,
Sun,2020-02-23,12:30,Everton,1.4,2–3,1.3,Manchester Utd,893,Walton Hall Park,Andrew Sykes,Match Report,
Sun,2020-02-23,14:00,Birmingham City,0.6,0–1,0.7,Bristol City,659,Damson Park,Stacey Pearson,Match Report,
Sun,2020-02-23,14:00,Manchester City,2.6,3–3,1.2,Chelsea,3542,Academy Stadium,Rebecca Welch,Match Report,
Sun,2020-02-23,14:00,Arsenal,,,,Reading,,Meadow Park,,Match Report,Match Cancelled
Sun,2020-02-23,14:00,Brighton,0.6,0–1,1.2,Tottenham,964,Checkatrade.com Stadium,Louise Saunders,Match Report,
Sun,2020-02-23,15:00,West Ham,1.6,4–2,1.5,Liverpool,1877,Rush Green Stadium,Matthew Russell,Match Report,
Sun,2020-03-22,12:00,Manchester Utd,,,,West Ham,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Sun,2020-03-22,14:00,Liverpool,,,,Manchester City,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-03-22,14:00,Tottenham,,,,Birmingham City,,The Hive Stadium,,Match Report,Match Cancelled
Sun,2020-03-22,14:00,Chelsea,,,,Everton,,Cherry Red Records Fans' Stadium,,Match Report,Match Cancelled
Sun,2020-03-22,14:00,Reading,,,,Brighton,,Adams Park,,Match Report,Match Cancelled
Sun,2020-03-22,15:00,Bristol City,,,,Arsenal,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Wed,2020-03-25,19:00,Everton,,,,Liverpool,,Walton Hall Park,,Match Report,Match Cancelled
Wed,2020-03-25,19:30,Birmingham City,,,,Manchester Utd,,Damson Park,,Match Report,Match Cancelled
Sat,2020-03-28,15:00,Manchester Utd,,,,Manchester City,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,12:00,West Ham,,,,Arsenal,,Rush Green Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,12:30,Everton,,,,Birmingham City,,Walton Hall Park,,Match Report,Match Cancelled
Sun,2020-03-29,14:00,Tottenham,,,,Chelsea,,The Hive Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,14:00,Brighton,,,,Bristol City,,Checkatrade.com Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,14:00,Reading,,,,Liverpool,,Adams Park,,Match Report,Match Cancelled
Wed,2020-04-01,19:30,West Ham,,,,Everton,,Rush Green Stadium,Robert Massey Ellis,Match Report,Match Cancelled
Sun,2020-04-05,14:00,Birmingham City,,,,West Ham,,Damson Park,,Match Report,Match Cancelled
Sun,2020-04-05,14:00,Liverpool,,,,Tottenham,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-04-05,14:00,Manchester City,,,,Reading,,Academy Stadium,,Match Report,Match Cancelled
Sun,2020-04-05,14:00,Chelsea,,,,Brighton,,Cherry Red Records Fans' Stadium,,Match Report,Match Cancelled
Sun,2020-04-05,14:00,Arsenal,,,,Manchester Utd,,Meadow Park,,Match Report,Match Cancelled
Sun,2020-04-05,15:00,Bristol City,,,,Everton,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Sun,2020-04-19,14:00,Tottenham,,,,Bristol City,,The Hive Stadium,,Match Report,Match Cancelled
Wed,2020-04-22,19:30,West Ham,,,,Manchester City,,Rush Green Stadium,,Match Report,Match Cancelled
Sun,2020-04-26,12:00,Liverpool,,,,Brighton,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-04-26,12:30,Everton,,,,West Ham,,Walton Hall Park,,Match Report,Match Cancelled
Sun,2020-04-26,14:00,Manchester City,,,,Tottenham,,Academy Stadium,,Match Report,Match Cancelled
Sun,2020-04-26,14:00,Reading,,,,Chelsea,,Adams Park,,Match Report,Match Cancelled
Sun,2020-04-26,14:00,Birmingham City,,,,Arsenal,,Damson Park,,Match Report,Match Cancelled
Sun,2020-04-26,15:00,Bristol City,,,,Manchester Utd,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Sun,2020-05-03,12:30,Everton,,,,Chelsea,,Walton Hall Park,Lucy Oliver,Match Report,Match Cancelled
Sun,2020-05-03,15:00,Bristol City,,,,West Ham,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Wed,2020-05-06,19:30,Birmingham City,,,,Reading,,Damson Park,,Match Report,Match Cancelled
Tue,2020-05-12,19:30,Manchester Utd,,,,Chelsea,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Wed,2020-05-13,19:30,Arsenal,,,,Tottenham,,Meadow Park,,Match Report,Match Cancelled
Sat,2020-05-16,,Tottenham,,,,Reading,,The Hive Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Brighton,,,,Manchester City,,Checkatrade.com Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Manchester Utd,,,,Birmingham City,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Chelsea,,,,Liverpool,,Cherry Red Records Fans' Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,West Ham,,,,Bristol City,,Rush Green Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Arsenal,,,,Everton,,Meadow Park,,Match Report,Match Cancelled
