,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
35,Karen Carney,eng ENG,MFFW,Chelsea,29,1987,8,7,617,6.9,3,4,3,0,0,0,0,0.44,0.58,1.02,0.44,1.02,Matches,06effb1f
36,Danielle Carter,eng ENG,FWMF,Arsenal,24,1993,17,11,950,10.6,2,1,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches,5d6d3dbb
37,Jessica Carter,eng ENG,DFMF,Birmingham City,19,1997,18,18,1575,17.5,1,2,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,Matches,bb5e99fc
38,Siobhan Chamberlain,eng ENG,GK,Liverpool,33,1983,15,15,1350,15.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2155c9cf
39,Olivia Chance,nz NZL,MFFW,Everton,23,1993,11,6,617,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e9a94833
40,Brooke Chaplen,eng ENG,FWDF,Reading,28,1989,18,18,1513,16.8,8,2,6,2,4,2,0,0.48,0.12,0.59,0.36,0.48,Matches,a7600cca
41,Katie Chapman,eng ENG,MF,Chelsea,35,1982,16,15,1315,14.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b0489440
42,Niamh Charles,eng ENG,MFFW,Liverpool,18,1999,11,8,640,7.1,3,2,3,0,0,0,0,0.42,0.28,0.70,0.42,0.70,Matches,cf19f181
43,Izzy Christiansen,eng ENG,MF,Manchester City,25,1991,17,12,1153,12.8,9,3,3,6,6,0,0,0.70,0.23,0.94,0.23,0.47,Matches,7bbb9b03
44,Jessica Clarke,eng ENG,MFFW,Liverpool,28,1989,13,11,902,10.0,4,2,4,0,0,1,0,0.40,0.20,0.60,0.40,0.60,Matches,a16b6619
45,Chelsea Cochrane,nir NIR,DF,Yeovil Town,17,1999,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb905dc3
46,Shannon Cooke,eng ENG,DF,Arsenal,17,2000,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,30f46e9b
47,Laura Coombs,eng ENG,MF,Liverpool,26,1991,17,16,1461,16.2,3,0,3,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,dfe6be0f
48,Deanna Cooper,eng ENG,DF,Chelsea,24,1993,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dffb640d
49,Nicola Cousins,wls WAL,DFMF,Yeovil Town,28,1988,18,18,1554,17.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,403a3bf8
50,Ellie Curson,wls WAL,MFDF,Yeovil Town,23,1994,4,4,352,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,65e3f92b
51,Erin Cuthbert,sct SCO,FWMF,Chelsea,19,1998,17,7,806,9.0,2,3,2,0,0,0,0,0.22,0.33,0.56,0.22,0.56,Matches,76a887a9
52,Yana Daniels,be BEL,FWMF,Bristol City,25,1992,17,15,1322,14.7,1,2,1,0,0,0,0,0.07,0.14,0.20,0.07,0.20,Matches,b33b4a16
53,Gemma Davison,eng ENG,MF,Chelsea,30,1987,13,9,761,8.5,2,2,2,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches,04629c12
54,Lorca Van De Putte,be BEL,DF,Bristol City,29,1988,1,1,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9335a14e
55,Mandy van den Berg,nl NED,DF,Reading,26,1990,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,358bfa81
56,Daniëlle van de Donk,nl NED,MFFW,Arsenal,25,1991,18,18,1532,17.0,5,3,5,0,0,1,0,0.29,0.18,0.47,0.29,0.47,Matches,6876815f
57,Emma Doyle,eng ENG,MF,Everton,,,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16468fa5
58,Crystal Dunn,us USA,MFFW,Chelsea,25,1992,7,6,585,6.5,2,3,2,0,0,0,0,0.31,0.46,0.77,0.31,0.77,Matches,a20c6459
59,Lizzie Durack,eng ENG,GK,Everton,23,1994,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87b9a36f
60,Loren Dykes,wls WAL,DFMF,Bristol City,29,1988,14,11,1074,11.9,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,67bb6983
61,Mary Earps,eng ENG,GK,Reading,24,1993,15,15,1334,14.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,ca2eabf4
62,Claire Emslie,sct SCO,FW,Manchester City,23,1994,17,11,1077,12.0,4,8,4,0,0,0,0,0.33,0.67,1.00,0.33,1.00,Matches,f2284088
63,Bethany England,eng ENG,FWMF,Liverpool,23,1994,16,16,1388,15.4,10,1,10,0,0,0,0,0.65,0.06,0.71,0.65,0.71,Matches,ccb1bd8b
64,Magdalena Eriksson,se SWE,DF,Chelsea,23,1993,15,14,1264,14.0,2,1,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches,bb454bb1
65,Charlie Estcourt,wls WAL,MFFW,Bristol City,19,1998,13,10,934,10.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0555042
66,Gemma Evans,wls WAL,DF,Yeovil Town,20,1996,18,17,1560,17.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,58e461be
67,Georgia Evans,wls WAL,MFFW,Yeovil Town,21,1995,16,13,1176,13.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1fced29
68,Lisa Evans,sct SCO,DFMF,Arsenal,25,1992,18,15,1327,14.7,2,1,2,0,0,2,0,0.14,0.07,0.20,0.14,0.20,Matches,755ef87c
69,Marisa Ewers,de GER,MF,Birmingham City,28,1989,12,12,1029,11.4,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,eac6835d
70,Millie Farrow,eng ENG,FWMF,Bristol City,21,1996,9,7,533,5.9,1,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,1f35609f
71,Olivia Fergusson,eng ENG,MFFW,Bristol City,22,1995,12,3,354,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ce79f86
72,Anna Filbey,wls WAL,MF,Arsenal,17,1999,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c116781
73,Megan Finnigan,eng ENG,MFDF,Everton,19,1998,16,16,1384,15.4,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,7de2938e
74,Becky Flaherty,nir NIR,GK,Liverpool,19,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6a71b76
75,Gilly Flaherty,eng ENG,DFMF,Chelsea,25,1991,10,10,870,9.7,1,2,1,0,0,0,0,0.10,0.21,0.31,0.10,0.31,Matches,c7cbc20d
76,Melissa Fletcher,wls WAL,FW,Reading,25,1992,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1e8cca7
77,Emma Follis,eng ENG,MFFW,Birmingham City,25,1992,15,11,966,10.7,0,2,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,e5239596
78,Rachel Furness,nir NIR,MF,Reading,29,1988,17,13,1246,13.8,3,1,3,0,0,5,0,0.22,0.07,0.29,0.22,0.29,Matches,30260df0
79,Bridget Galloway,eng ENG,FW,Sunderland,,,12,9,854,9.5,3,0,3,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,a63431bc
80,Evie Gane,wls WAL,DF,Reading,17,1999,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c56e22c
81,Thierry-Jo Gauvain,wls WAL,DFMF,Yeovil Town,16,2001,10,6,599,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,498b243e
82,Gabrielle George,eng ENG,DF,Everton,20,1997,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a706e82f
83,Anna Green,nz NZL,DFMF,Reading,26,1990,5,3,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,215a9c4f
84,Kayleigh Green,wls WAL,FWDF,Yeovil Town,29,1988,13,13,1125,12.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a40b9d09
85,Mollie Green,eng ENG,MFFW,Everton,19,1997,13,9,789,8.8,2,0,1,1,1,1,0,0.23,0.00,0.23,0.11,0.11,Matches,4f922d2b
