,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
151,Marthe Munsterman,nl NED,MF,Everton,24,1993,12,6,590,6.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,238ee6df
152,Satara Murray,jm JAM,DF,Liverpool,24,1993,14,12,1132,12.6,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,c519dc3a
153,Nadia Nadim,dk DEN,FW,Manchester City,29,1988,12,7,695,7.7,4,1,4,0,0,0,0,0.52,0.13,0.65,0.52,0.65,Matches,4f24c672
154,Jessica Ngunga,eng ENG,FW,Arsenal,16,2000,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6cc3fcc
155,Jordan Nobbs,eng ENG,MF,Arsenal,24,1992,17,17,1522,16.9,3,8,3,0,0,1,0,0.18,0.47,0.65,0.18,0.65,Matches,2225335c
156,Heather O'Reilly,us USA,MFFW,Arsenal,32,1985,16,9,882,9.8,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches,1590d091
157,Aimee Palmer,eng ENG,MF,Bristol City,17,2000,11,4,469,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,37d866d9
158,Nikita Parris,eng ENG,FW,Manchester City,23,1994,18,17,1477,16.4,11,6,11,0,0,0,0,0.67,0.37,1.04,0.67,1.04,Matches,fa5faf19
159,Kirsty Pearce,,DF,Reading,,,18,18,1617,18.0,3,0,3,0,0,5,0,0.17,0.00,0.17,0.17,0.17,Matches,806513bf
160,Liberty Piggott,wls WAL,FW,Yeovil Town,19,1997,3,2,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f9a8e6f
161,Cassia Pike,wls WAL,FW,Liverpool,16,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,feacaf87
162,Rachel Pitman,eng ENG,DFMF,Sunderland,25,1991,12,11,955,10.6,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,2260f160
163,Jo Potter,eng ENG,DFFW,Reading,32,1984,17,17,1520,16.9,0,5,0,0,0,0,1,0.00,0.30,0.30,0.00,0.30,Matches,ffe84701
164,Anke Preuß,de GER,GK,Sunderland,24,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,07943bfe
165,Ella Pusey,eng ENG,MFFW,Yeovil Town,,,18,16,1358,15.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86321258
166,Louise Quinn,ie IRL,DFMF,Arsenal,27,1990,16,14,1230,13.7,1,1,1,0,0,0,1,0.07,0.07,0.15,0.07,0.15,Matches,4aa73137
167,Lucy Quinn,ie IRL,MF,Birmingham City,23,1993,5,2,266,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c7194657
168,Claire Rafferty,eng ENG,DF,Chelsea,28,1989,5,2,178,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bba15fa
169,Keira Ramshaw,eng ENG,FWMF,Sunderland,23,1994,15,12,1061,11.8,3,0,3,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,5385eb45
170,Lucy Roberts,eng ENG,DF,Liverpool,16,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31d79523
171,Megan Robinson,eng ENG,MF,Yeovil Town,,,3,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bbce4e56
172,Amy Rodgers,eng ENG,MF,Liverpool,17,2000,4,1,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f15e6a9
173,Ellie Roebuck,eng ENG,GK,Manchester City,17,1999,11,10,980,10.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16d7db66
174,Lindsay Rogers,eng ENG,MFFW,Birmingham City,,,11,5,480,5.3,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,42dbac50
175,Jemma Rose,eng ENG,DF,Arsenal,25,1992,4,4,357,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8bcadd3c
176,Jane Ross,sct SCO,FW,Manchester City,27,1989,13,9,706,7.8,3,1,3,0,0,0,0,0.38,0.13,0.51,0.38,0.51,Matches,8844be23
177,Rachel Rowe,wls WAL,DF,Reading,24,1992,18,18,1620,18.0,4,3,4,0,0,2,0,0.22,0.17,0.39,0.22,0.39,Matches,3a336e9f
178,Jessica Samuelsson,se SWE,DF,Arsenal,25,1992,2,2,171,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a3cb08a
179,Meaghan Sargeant,eng ENG,DF,Birmingham City,23,1994,13,13,1095,12.2,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,030e6560
180,Paige Sawyer,eng ENG,MF,Yeovil Town,18,1999,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1b02fc3
181,Alex Scott,eng ENG,DF,Arsenal,32,1984,3,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ffc7693
182,Harriet Scott,ie IRL,DF,Reading,24,1993,9,5,498,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ea4f36a
183,Jill Scott,eng ENG,MF,Manchester City,30,1987,16,16,1243,13.8,7,4,7,0,0,1,0,0.51,0.29,0.80,0.51,0.80,Matches,bb3bd078
184,Hayley Sharp,eng ENG,DFMF,Sunderland,26,1990,18,18,1597,17.7,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,a2955e71
185,Kylla Sjoman,ca CAN,DFMF,Sunderland,29,1987,16,14,1228,13.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,eb643dd4
186,Ji So-yun,kr KOR,MFFW,Chelsea,26,1991,14,11,1003,11.1,6,3,6,0,0,2,0,0.54,0.27,0.81,0.54,0.81,Matches,60d80b92
187,Drew Spence,jm JAM,MFFW,Chelsea,24,1992,14,9,683,7.6,2,0,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,8983fe4a
188,Rebecca Spencer,jm JAM,GK,Chelsea,26,1991,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c207731f
189,Julia Spetsmark,se SWE,FW,Manchester City,28,1989,3,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d87f7c77
190,Lucy Staniforth,eng ENG,MFFW,Sunderland,24,1992,18,17,1553,17.3,3,4,3,0,0,0,0,0.17,0.23,0.41,0.17,0.41,Matches,2ee41ad7
191,Georgia Stanway,eng ENG,MFFW,Manchester City,18,1999,14,9,922,10.2,6,3,6,0,0,1,0,0.59,0.29,0.88,0.59,0.88,Matches,89c43b54
192,Frances Stenson,eng ENG,GK,Birmingham City,16,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a95f405c
193,Ellie Stewart,eng ENG,DF,Sunderland,20,1996,15,13,1221,13.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11cc191f
194,Demi Stokes,eng ENG,DF,Manchester City,25,1991,15,15,1308,14.5,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,a49a1c85
195,Casey Stoney,eng ENG,DF,Liverpool,35,1982,9,9,786,8.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5f2d47ff
196,Abbey-Leigh Stringer,eng ENG,MFFW,Birmingham City,22,1995,11,4,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2fb8712
197,Courtney Sweetman-Kirk,eng ENG,FW,Everton,26,1990,18,17,1463,16.3,4,1,4,0,2,1,0,0.25,0.06,0.31,0.25,0.31,Matches,e04121b4
198,Jodie Taylor,eng ENG,FW,Arsenal,31,1986,3,2,147,1.6,2,1,1,1,1,0,0,1.22,0.61,1.84,0.61,1.22,Matches,dc02c40a
199,Carly Telford,eng ENG,GK,Chelsea,30,1987,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a428bcd0
200,Maria Thorisdottir,no NOR,DFMF,Chelsea,24,1993,10,7,655,7.3,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,8ee86892
201,Ella Toone,eng ENG,FWMF,Manchester City,17,1999,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea1a4530
202,Amy Turner,eng ENG,DFMF,Liverpool,26,1991,6,3,347,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a21edf38
203,Danielle Turner,eng ENG,DFMF,Everton,26,1991,17,17,1530,17.0,5,1,5,0,0,1,0,0.29,0.06,0.35,0.29,0.35,Matches,cdcfea31
204,Millie Turner,eng ENG,DFMF,Bristol City,21,1996,18,17,1509,16.8,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,53926a7a
205,Sari van Veenendaal,nl NED,GK,Arsenal,27,1990,14,14,1260,14.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,b2803b53
206,Claudia Walker,eng ENG,MFFW,Everton,21,1996,5,4,405,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,fcdb5047
207,Keira Walsh,eng ENG,MF,Manchester City,20,1997,18,18,1589,17.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca934b6b
208,Megan Walsh,ie IRL,GK,Yeovil Town,22,1994,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8694b82e
209,Caroline Weir,sct SCO,MF,Liverpool,22,1995,17,16,1449,16.1,1,2,1,0,0,1,0,0.06,0.12,0.19,0.06,0.19,Matches,b30c8ad2
210,Charlie Wellings,eng ENG,MFFW,Birmingham City,19,1998,18,17,1457,16.2,4,2,4,0,0,0,0,0.25,0.12,0.37,0.25,0.37,Matches,af308521
211,Emily Westwood,eng ENG,DF,Birmingham City,33,1984,5,3,289,3.2,0,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches,b35af19b
212,Ellen White,eng ENG,FW,Birmingham City,28,1989,14,13,1157,12.9,15,2,15,0,0,0,0,1.17,0.16,1.32,1.17,1.32,Matches,87740aba
213,Fara Williams,eng ENG,MFFW,Reading,33,1984,18,18,1579,17.5,7,5,7,0,0,2,0,0.40,0.28,0.68,0.40,0.68,Matches,8054c3f7
214,Paige Williams,eng ENG,DF,Birmingham City,22,1995,12,8,803,8.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f49e0ece
215,Rachel Williams,eng ENG,MFFW,Birmingham City,29,1988,15,14,1203,13.4,2,4,2,0,0,0,0,0.15,0.30,0.45,0.15,0.45,Matches,2fa8aa92
216,Victoria Williams,eng ENG,DF,Sunderland,27,1990,17,17,1457,16.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,fd4f768b
217,Leah Williamson,eng ENG,DFMF,Arsenal,20,1997,17,16,1339,14.9,1,1,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,Matches,9a40ae1f
218,Ellie Wilson,eng ENG,DF,Bristol City,20,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0ddf381
219,Poppy Wilson,eng ENG,MFDF,Bristol City,17,1999,5,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3dd88b4
220,Lily Woodham,wls WAL,DF,Bristol City,16,2000,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,828d664e
221,Jessica Wooley,eng ENG,FW,Bristol City,16,2001,4,0,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,689223d5
222,Siri Worm,nl NED,DFMF,Everton,25,1992,14,11,933,10.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef3ae457
223,Zaneta Wyne,us USA,MFDF,Sunderland,27,1990,18,18,1572,17.5,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,f736b4f1
224,Anna Young,eng ENG,FW,Sunderland,22,1995,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea8c7870
