,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
264,Aileen Whelan,eng ENG,MFFW,Brighton,29,1991,22,18,1704,18.9,4,1,4,0,0,2,0,0.21,0.05,0.26,0.21,0.26,1.6,1.6,0.3,1.9,0.09,0.02,0.10,0.09,0.10,Matches,11c33ab6
265,Emily Whelan,ie IRL,FWMF,Birmingham City,18,2002,19,3,496,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.04,0.08,0.11,0.04,0.11,Matches,c1cb3b22
266,Lucy Whipp,eng ENG,MFFW,Birmingham City,25,1995,11,4,532,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.03,0.07,0.10,0.03,0.10,Matches,3795257f
267,Ellen White,eng ENG,FW,Manchester City,32,1989,22,13,1220,13.6,4,4,4,0,0,1,0,0.30,0.30,0.59,0.30,0.59,5.3,5.3,1.8,7.1,0.39,0.14,0.53,0.39,0.53,Matches,87740aba
268,Laura Wienroither,at AUT,DF,Arsenal,22,1999,8,3,364,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.08,0.13,0.21,0.08,0.21,Matches,f8146853
269,Lydia Williams,au AUS,GK,Arsenal,33,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ccf22f56
270,Rachel Williams,eng ENG,FW,Tottenham,33,1988,22,21,1803,20.0,4,2,4,0,0,5,1,0.20,0.10,0.30,0.20,0.30,4.2,4.2,2.2,6.4,0.21,0.11,0.32,0.21,0.32,Matches,2fa8aa92
271,Victoria Williams,eng ENG,DF,Brighton,31,1990,21,21,1801,20.0,2,1,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15,1.3,1.3,0.0,1.3,0.07,0.00,0.07,0.07,0.07,Matches,fd4f768b
272,Leah Williamson,eng ENG,DF,Arsenal,24,1997,18,17,1452,16.1,2,3,2,0,0,1,0,0.12,0.19,0.31,0.12,0.31,0.8,0.8,1.0,1.8,0.05,0.06,0.11,0.05,0.11,Matches,9a40ae1f
273,Lily Woodham,wls WAL,DFMF,Reading,20,2000,21,20,1756,19.5,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,1.8,2.1,0.01,0.09,0.11,0.01,0.11,Matches,828d664e
274,Louanne Worsley,,FWMF,Birmingham City,,,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f579bd83
275,Lotte Wubben-Moy,eng ENG,DF,Arsenal,22,1999,17,13,1210,13.4,2,2,2,0,0,1,0,0.15,0.15,0.30,0.15,0.30,1.0,1.0,0.3,1.2,0.07,0.02,0.09,0.07,0.09,Matches,f254ebd6
276,Zaneta Wyne,us USA,DFMF,West Ham,31,1990,18,13,1147,12.7,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.7,1.5,0.06,0.05,0.11,0.06,0.11,Matches,f736b4f1
277,Shelina Zadorsky,ca CAN,DF,Tottenham,28,1992,21,21,1837,20.4,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.0,1.0,0.05,0.00,0.05,0.05,0.05,Matches,23aceac3
278,Katie Zelem,eng ENG,MF,Manchester Utd,25,1996,22,22,1976,22.0,5,5,3,2,2,1,0,0.23,0.23,0.46,0.14,0.36,3.1,1.6,2.9,4.5,0.14,0.13,0.28,0.07,0.21,Matches,213a7877
279,Julia Zigiotti Olme,se SWE,MFFW,Brighton,23,1997,11,6,565,6.3,2,0,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,1.1,1.1,0.2,1.3,0.18,0.03,0.21,0.18,0.21,Matches,d3f7c3ef
280,Manuela Zinsberger,at AUT,GK,Arsenal,25,1995,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c7dc2a33
