,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
45,Brooke Cairns,eng ENG,FW,West Ham,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7fa64418
46,Diane Caldwell,ie IRL,DF,Manchester Utd,32,1988,5,5,450,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,b4a17233
47,Danielle Carter,eng ENG,FWMF,Brighton,28,1993,21,17,1440,16.0,2,1,2,0,0,2,0,0.12,0.06,0.19,0.12,0.19,2.0,2.0,0.6,2.6,0.12,0.04,0.16,0.12,0.16,Matches,5d6d3dbb
48,Jessica Carter,eng ENG,DF,Chelsea,23,1997,21,19,1685,18.7,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.7,0.8,0.00,0.04,0.04,0.00,0.04,Matches,bb5e99fc
49,Steph Catley,au AUS,DF,Arsenal,27,1994,18,14,1291,14.3,1,4,1,0,0,0,0,0.07,0.28,0.35,0.07,0.35,0.8,0.8,2.2,3.0,0.06,0.15,0.21,0.06,0.21,Matches,9ef5bf48
50,Brooke Chaplen,eng ENG,MFFW,Reading,32,1989,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.03,0.04,0.07,0.03,0.07,Matches,a7600cca
51,Niamh Charles,eng ENG,DFMF,Chelsea,22,1999,20,12,1039,11.5,1,1,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.8,1.6,0.07,0.07,0.14,0.07,0.14,Matches,cf19f181
52,Izzy Christiansen,eng ENG,MF,Everton,29,1991,20,19,1699,18.9,0,2,0,0,2,1,0,0.00,0.11,0.11,0.00,0.11,2.5,0.9,0.8,1.7,0.13,0.04,0.17,0.05,0.09,Matches,7bbb9b03
53,Hawa Cissoko,fr FRA,DF,West Ham,24,1997,19,19,1534,17.0,0,1,0,0,0,5,2,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,41d9c706
54,Maéva Clemaron,fr FRA,MF,Tottenham,28,1992,21,21,1735,19.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.02,0.04,0.06,0.02,0.06,Matches,490b7ae2
55,Grace Clinton,eng ENG,MFFW,Everton,18,2003,8,2,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.07,0.09,0.16,0.07,0.16,Matches,71657eba
56,Megan Connolly,ie IRL,MF,Brighton,24,1997,20,16,1448,16.1,0,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,1.9,2.3,0.03,0.12,0.15,0.03,0.15,Matches,afed2d24
57,Laura Coombs,eng ENG,MFFW,Manchester City,30,1991,16,6,640,7.1,4,1,4,0,0,0,0,0.56,0.14,0.70,0.56,0.70,1.0,1.0,0.7,1.7,0.14,0.10,0.24,0.14,0.24,Matches,dfe6be0f
58,Deanna Cooper,eng ENG,DF,Reading,28,1993,17,16,1310,14.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,dffb640d
59,Rachel Corsie,sct SCO,DFMF,Aston Villa,31,1989,6,5,479,5.3,0,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.4,0.4,0.2,0.6,0.08,0.04,0.12,0.08,0.12,Matches,49fd636f
60,Abbie Cowie,,DF,Birmingham City,,,7,5,446,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,028dbc18
61,Erin Cuthbert,sct SCO,MFFW,Chelsea,23,1998,20,17,1513,16.8,4,4,4,0,0,0,0,0.24,0.24,0.48,0.24,0.48,2.4,2.4,4.2,6.6,0.14,0.25,0.39,0.14,0.39,Matches,76a887a9
62,Kenza Dali,fr FRA,MFFW,Everton,30,1991,20,15,1269,14.1,0,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,1.5,1.5,2.1,3.5,0.10,0.15,0.25,0.10,0.25,Matches,1cb43c5f
63,Gemma Davison,eng ENG,FWMF,Aston Villa,34,1987,3,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.17,0.04,0.21,0.17,0.21,Matches,04629c12
64,Charlotte Devlin,eng ENG,MFFW,Leicester City WFC,23,1998,6,0,174,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.09,0.27,0.36,0.09,0.36,Matches,e629e6a2
65,Natasha Dowie,eng ENG,FW,Reading,33,1988,17,16,1374,15.3,6,1,5,1,2,0,0,0.39,0.07,0.46,0.33,0.39,4.9,3.3,0.1,3.4,0.32,0.01,0.33,0.22,0.22,Matches,b3a53694
66,Toni Duggan,eng ENG,FW,Everton,30,1991,22,18,1538,17.1,2,1,2,0,0,0,0,0.12,0.06,0.18,0.12,0.18,3.7,3.7,1.2,4.8,0.21,0.07,0.28,0.21,0.28,Matches,51aefd7f
67,Mary Earps,eng ENG,GK,Manchester Utd,28,1993,22,22,1980,22.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,ca2eabf4
68,Amalie Eikeland,no NOR,MFFW,Reading,25,1995,20,19,1727,19.2,2,2,2,0,0,1,0,0.10,0.10,0.21,0.10,0.21,0.9,0.9,1.0,1.9,0.05,0.05,0.10,0.05,0.10,Matches,e9c71e6d
69,Claire Emslie,sct SCO,FWMF,Everton,27,1994,18,12,1025,11.4,2,1,2,0,0,0,0,0.18,0.09,0.26,0.18,0.26,1.1,1.1,2.3,3.4,0.09,0.20,0.29,0.09,0.29,Matches,f2284088
70,Bethany England,eng ENG,FW,Chelsea,27,1994,20,11,870,9.7,8,4,7,1,1,0,0,0.83,0.41,1.24,0.72,1.14,5.9,5.1,2.0,7.0,0.61,0.20,0.81,0.53,0.73,Matches,ccb1bd8b
71,Magdalena Eriksson,se SWE,DF,Chelsea,27,1993,16,13,1256,14.0,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.5,1.9,0.11,0.03,0.14,0.11,0.14,Matches,bb454bb1
72,Gemma Evans,wls WAL,DF,Reading,24,1996,22,22,1980,22.0,0,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,1.4,1.4,0.5,1.9,0.07,0.02,0.09,0.07,0.09,Matches,58e461be
73,Lisa Evans,sct SCO,FWDF,West Ham,29,1992,16,12,1048,11.6,1,3,1,0,0,0,0,0.09,0.26,0.34,0.09,0.34,0.9,0.9,3.1,4.0,0.08,0.27,0.34,0.08,0.34,Matches,755ef87c
74,Sarah Ewens,sct SCO,FWMF,Birmingham City,29,1992,11,4,380,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.04,0.02,0.07,0.04,0.07,Matches,14b701d9
75,Marisa Ewers,de GER,MF,Aston Villa,32,1989,5,3,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.03,0.01,0.03,Matches,eac6835d
76,Melisa Filis,eng ENG,MFFW,West Ham,19,2002,19,4,389,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.07,0.01,0.08,0.07,0.08,Matches,a07a7a88
77,Jamie Finn,ie IRL,DFMF,Birmingham City,23,1998,20,18,1650,18.3,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.6,0.6,0.00,0.03,0.03,0.00,0.03,Matches,8ecf0468
78,Megan Finnigan,eng ENG,DF,Everton,23,1998,16,12,1106,12.3,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches,7de2938e
79,Grace Fisk,eng ENG,DF,West Ham,23,1998,16,15,1350,15.0,2,0,2,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.5,0.5,0.1,0.7,0.04,0.01,0.04,0.04,0.04,Matches,3978f8a9
80,Gilly Flaherty,eng ENG,DF,West Ham,29,1991,19,19,1710,19.0,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,0.8,1.4,0.03,0.04,0.07,0.03,0.07,Matches,c7cbc20d
81,Jessie Fleming,ca CAN,FWMF,Chelsea,23,1998,21,11,1059,11.8,6,4,6,0,0,1,0,0.51,0.34,0.85,0.51,0.85,2.8,2.8,2.5,5.3,0.24,0.21,0.45,0.24,0.45,Matches,e47d2297
82,Natasha Flint,eng ENG,FWMF,Leicester City WFC,24,1996,21,13,1253,13.9,2,1,2,0,0,2,0,0.14,0.07,0.22,0.14,0.22,3.2,3.2,0.1,3.4,0.23,0.01,0.24,0.23,0.24,Matches,02fd09ad
83,Caitlin Foord,au AUS,FWMF,Arsenal,26,1994,16,9,795,8.8,4,3,4,0,0,2,0,0.45,0.34,0.79,0.45,0.79,3.7,3.7,1.7,5.4,0.42,0.19,0.61,0.42,0.61,Matches,019544ff
84,Jorja Fox,eng ENG,DF,Chelsea,17,2003,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,ed4f0069
85,Ivana Fuso,br BRA,FWMF,Manchester Utd,20,2001,7,0,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.13,0.23,0.10,0.23,Matches,d2d4b1f4
86,Jeon Ga-eul,kr KOR,FWDF,Reading,32,1988,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.35,0.00,0.35,0.35,0.35,Matches,a0e999a4
87,Aurora Galli,it ITA,MF,Everton,24,1996,18,18,1435,15.9,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.3,0.5,0.02,0.02,0.03,0.02,0.03,Matches,cc516d17
88,Leah Galton,eng ENG,FW,Manchester Utd,27,1994,21,20,1697,18.9,8,3,8,0,0,0,0,0.42,0.16,0.58,0.42,0.58,4.8,4.8,3.1,7.9,0.25,0.16,0.42,0.25,0.42,Matches,c3d37cec
89,Grace Garrard,eng ENG,DFFW,West Ham,18,2003,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,44052b61
90,Valérie Gauvin,fr FRA,FW,Everton,25,1996,12,3,371,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.2,2.2,0.0,2.2,0.54,0.00,0.54,0.54,0.54,Matches,85dedf13
91,Gabrielle George,eng ENG,DF,Everton,24,1997,21,21,1890,21.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.8,1.6,0.04,0.04,0.07,0.04,0.07,Matches,a706e82f
92,Lee Geum-min,kr KOR,FWMF,Brighton,27,1994,16,13,1128,12.5,2,1,2,0,0,0,0,0.16,0.08,0.24,0.16,0.24,1.0,1.0,1.3,2.3,0.08,0.10,0.18,0.08,0.18,Matches,3137ff06
93,Felicity Gibbons,eng ENG,DF,Brighton,27,1994,15,10,856,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches,6357bee3
94,Emily Gielnik,au AUS,FW,Aston Villa,29,1992,15,13,1076,12.0,2,0,2,0,0,0,0,0.17,0.00,0.17,0.17,0.17,2.0,2.0,0.4,2.3,0.16,0.03,0.20,0.16,0.20,Matches,140cee9f
95,Teyah Goldie,eng ENG,DF,Arsenal,17,2004,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ba0058a5
96,Missy Goodwin,eng ENG,MFFW,Leicester City WFC,18,2003,6,4,345,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.03,0.09,0.12,0.03,0.12,Matches,7f563c66
97,Esmee de Graaf,nl NED,DFMF,Leicester City WFC,23,1997,21,18,1615,17.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.03,0.03,0.06,0.03,0.06,Matches,c2aea32c
98,Kit Graham,eng ENG,FWMF,Tottenham,25,1995,8,7,534,5.9,2,0,2,0,0,1,0,0.34,0.00,0.34,0.34,0.34,1.9,1.9,1.2,3.1,0.31,0.21,0.52,0.31,0.52,Matches,7cdb3c2e
99,Lucy Graham,sct SCO,MF,Everton,24,1996,16,10,902,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.7,2.2,0.15,0.07,0.22,0.15,0.22,Matches,1691b0ef
100,Abbi Grant,sct SCO,FW,Leicester City WFC,25,1995,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a78931f2
101,Josephine Green,wls WAL,MF,Tottenham,28,1993,11,6,544,6.0,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.9,0.9,0.2,1.1,0.15,0.04,0.18,0.15,0.18,Matches,90ca21de
102,Kayleigh Green,wls WAL,MFFW,Brighton,33,1988,18,9,914,10.2,3,1,3,0,0,2,0,0.30,0.10,0.39,0.30,0.39,1.7,1.7,0.4,2.2,0.17,0.04,0.21,0.17,0.21,Matches,a40b9d09
103,Alex Greenwood,eng ENG,DF,Manchester City,27,1993,22,22,1925,21.4,4,3,2,2,2,3,0,0.19,0.14,0.33,0.09,0.23,3.1,1.5,2.2,3.7,0.14,0.10,0.25,0.07,0.17,Matches,d935ee5a
104,Freya Gregory,eng ENG,MFFW,Leicester City WFC,18,2003,11,10,843,9.4,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.6,1.9,0.14,0.06,0.20,0.14,0.20,Matches,08ebd353
105,Freya Gregory,eng ENG,FW,Aston Villa,18,2003,3,1,108,1.2,0,1,0,0,0,0,0,0.00,0.83,0.83,0.00,0.83,0.0,0.0,0.3,0.3,0.00,0.22,0.22,0.00,0.22,Matches,08ebd353
106,Jackie Groenen,nl NED,MF,Manchester Utd,26,1994,16,12,1063,11.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.05,0.05,0.10,0.05,0.10,Matches,6698c9f0
107,Natalie Haigh,eng ENG,MF,Aston Villa,21,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,85d307f6
108,Hannah Hampton,eng ENG,GK,Aston Villa,20,2000,20,20,1773,19.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,87f3ffa4
109,Kirsty Hanson,sct SCO,FW,Manchester Utd,23,1998,17,6,731,8.1,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,1.4,1.4,2.7,4.1,0.17,0.33,0.50,0.17,0.50,Matches,2457a6c7
110,Pernille Harder,dk DEN,FWMF,Chelsea,28,1992,16,13,1193,13.3,6,3,5,1,1,1,0,0.45,0.23,0.68,0.38,0.60,5.2,4.4,3.1,7.5,0.39,0.23,0.62,0.33,0.56,Matches,363b99a4
111,Natasha Harding,wls WAL,DFMF,Reading,32,1989,22,21,1821,20.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.03,0.02,0.05,0.03,0.05,Matches,8d6d0bf1
112,Emma Harries,eng ENG,MFFW,Reading,19,2002,19,12,1124,12.5,3,1,3,0,0,0,0,0.24,0.08,0.32,0.24,0.32,1.7,1.7,0.5,2.2,0.13,0.04,0.17,0.13,0.17,Matches,c17af8e0
113,Martha Harris,eng ENG,DF,Manchester Utd,26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.96,2.88,3.84,0.96,3.84,Matches,5343ce75
114,Sophie Harris,eng ENG,GK,Leicester City WFC,26,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,63c09eda
115,Kerys Harrop,eng ENG,DFMF,Tottenham,30,1990,19,17,1514,16.8,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches,c6966699
116,Yui Hasegawa,jp JPN,MFFW,West Ham,24,1997,17,16,1459,16.2,2,2,2,0,0,0,0,0.12,0.12,0.25,0.12,0.25,1.1,1.1,2.0,3.1,0.07,0.12,0.19,0.07,0.19,Matches,13633403
117,Shania Hayles,jm JAM,FW,Aston Villa,21,1999,13,3,420,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.05,0.04,0.09,0.05,0.09,Matches,6ad4cec9
118,Tobin Heath,us USA,FWMF,Arsenal,33,1988,9,3,295,3.3,2,1,2,0,0,0,0,0.61,0.31,0.92,0.61,0.92,1.6,1.6,0.3,1.8,0.49,0.08,0.56,0.49,0.56,Matches,59ef6268
119,Lauren Hemp,eng ENG,FW,Manchester City,20,2000,22,20,1733,19.3,10,6,10,0,0,1,0,0.52,0.31,0.83,0.52,0.83,8.4,8.4,5.3,13.7,0.43,0.28,0.71,0.43,0.71,Matches,d979e267
120,Alex Hennessy,eng ENG,FWDF,Arsenal,16,2004,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,aa993efa
121,Rebecca Holloway,nir NIR,DFMF,Birmingham City,25,1995,17,16,1467,16.3,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.3,1.8,0.03,0.08,0.11,0.03,0.11,Matches,c50ff385
122,Steph Houghton,eng ENG,DF,Manchester City,33,1988,5,4,364,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches,378ce9a0
123,Marie Hourihan,ie IRL,GK,Birmingham City,34,1987,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cb40b39b
124,Halle Houssein,eng ENG,DF,Arsenal,16,2004,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,36d61f59
125,Halle Houssein,eng ENG,MFFW,West Ham,16,2004,5,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08,Matches,36d61f59
126,Sophie Howard,sct SCO,DF,Leicester City WFC,27,1993,21,17,1664,18.5,1,0,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.2,1.1,0.04,0.01,0.06,0.04,0.06,Matches,4b98901d
127,Jodie Hutton,eng ENG,FWMF,Aston Villa,20,2001,4,1,101,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches,e904f17c
128,Sophie Ingle,wls WAL,MF,Chelsea,29,1991,19,16,1446,16.1,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.8,0.8,1.3,2.0,0.05,0.08,0.12,0.05,0.12,Matches,64623394
129,Mana Iwabuchi,jp JPN,MFFW,Arsenal,28,1993,11,5,491,5.5,1,1,1,0,0,1,0,0.18,0.18,0.37,0.18,0.37,1.1,1.1,0.9,1.9,0.20,0.16,0.36,0.20,0.36,Matches,cda50d6b
130,Lauren James,eng ENG,FWMF,Chelsea,19,2001,6,0,113,1.3,1,0,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80,0.4,0.4,0.1,0.4,0.30,0.05,0.35,0.30,0.35,Matches,d6c2ee71
131,Tang Jiali,cn CHN,FW,Tottenham,26,1995,10,2,262,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.9,0.9,0.6,1.5,0.30,0.21,0.52,0.30,0.52,Matches,4d63a7ee
132,Lois Joel,eng ENG,DF,West Ham,22,1999,10,0,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,Matches,335ded15
133,Carrie Jones,wls WAL,FW,Manchester Utd,17,2003,3,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.47,0.00,0.47,0.47,0.47,Matches,d3032ee0
134,Lucy Jones,,GK,Birmingham City,,,1,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cc6b3108
135,Inessa Kaagman,nl NED,MFFW,Brighton,25,1996,20,17,1484,16.5,4,3,1,3,3,2,0,0.24,0.18,0.42,0.06,0.24,3.3,0.9,1.8,2.7,0.20,0.11,0.31,0.06,0.17,Matches,4f9ac754
136,Khiara Keating,eng ENG,GK,Manchester City,17,2004,3,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,20b9158f
137,Chloe Kelly,eng ENG,FW,Manchester City,23,1998,5,3,302,3.4,1,3,1,0,0,0,0,0.30,0.89,1.19,0.30,1.19,0.7,0.7,1.8,2.5,0.22,0.52,0.75,0.22,0.75,Matches,9ff67bf9
138,Alanna Kennedy,au AUS,DF,Manchester City,26,1995,14,13,1152,12.8,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.2,0.6,0.03,0.02,0.04,0.03,0.04,Matches,8252bc62
139,Danique Kerkdijk,nl NED,DF,Brighton,25,1996,20,17,1347,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b04bd0b8
140,Sam Kerr,au AUS,FW,Chelsea,27,1993,20,17,1554,17.3,20,4,20,0,0,1,0,1.16,0.23,1.39,1.16,1.39,11.7,11.7,3.8,15.5,0.68,0.22,0.90,0.68,0.90,Matches,6a435e8d
141,Fran Kirby,eng ENG,FW,Chelsea,28,1993,13,9,858,9.5,6,6,6,0,0,0,0,0.63,0.63,1.26,0.63,1.26,3.8,3.8,4.1,8.0,0.40,0.43,0.83,0.40,0.83,Matches,bd91e11f
142,Emma Koivisto,fi FIN,DFMF,Brighton,26,1994,22,21,1909,21.2,3,0,3,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.4,1.7,0.06,0.02,0.08,0.06,0.08,Matches,4658c710
143,Tinja-Riikka Korpela,fi FIN,GK,Tottenham,35,1986,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9df8e322
144,Emma Kullberg,se SWE,DF,Brighton,29,1991,13,11,984,10.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.03,0.04,0.06,0.03,0.06,Matches,2bed1c6e
145,Hayley Ladd,wls WAL,MFDF,Manchester Utd,27,1993,14,12,1083,12.0,2,0,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17,0.9,0.9,0.4,1.3,0.07,0.03,0.11,0.07,0.11,Matches,1e4d1c4c
146,Demi Lambourne,eng ENG,GK,Leicester City WFC,25,1996,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a9e58407
147,Isabella Lane,eng ENG,DFMF,Tottenham,17,2003,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d0d990a1
148,Gemma Lawley,eng ENG,DF,Birmingham City,20,2001,19,18,1618,18.0,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.0,0.9,0.05,0.00,0.05,0.05,0.05,Matches,1be0d49b
149,Maya Le Tissier,eng ENG,DF,Brighton,19,2002,22,22,1980,22.0,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,1.0,1.8,0.04,0.04,0.08,0.04,0.08,Matches,087316e6
150,Anna Leat,nz NZL,GK,West Ham,20,2001,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,966527eb
151,Alisha Lehmann,ch SUI,FW,Aston Villa,22,1999,21,21,1703,18.9,2,2,1,1,1,1,0,0.11,0.11,0.21,0.05,0.16,2.8,2.0,0.9,2.9,0.15,0.05,0.19,0.10,0.15,Matches,f32bb122
152,Adriana Leon,ca CAN,FW,West Ham,28,1992,13,11,969,10.8,2,0,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,2.2,2.2,1.4,3.6,0.21,0.13,0.34,0.21,0.34,Matches,15c7bfb7
153,Melanie Leupolz,de GER,MF,Chelsea,27,1994,7,6,513,5.7,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,0.5,0.8,0.05,0.09,0.13,0.05,0.13,Matches,4fc6f0fa
154,Kirstie Levell,eng ENG,GK,Leicester City WFC,24,1997,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,85b75d24
155,Kim Little,sct SCO,MF,Arsenal,31,1990,22,21,1786,19.8,6,0,5,1,1,0,0,0.30,0.00,0.30,0.25,0.25,2.3,1.5,2.8,4.3,0.12,0.14,0.26,0.08,0.22,Matches,bef86627
156,Ruesha Littlejohn,ie IRL,MF,Aston Villa,31,1990,17,11,995,11.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02,Matches,342232da
