,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Lily Agg,ie IRL,FW,Bristol City,23,1993,3,1,110,1.2,1,0,1,0,0,0,0,0.82,0.00,0.82,0.82,0.82,Matches,6ef8cf5a
2,Megan Alexander,eng ENG,DFMF,Bristol City,23,1993,6,6,532,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,236bda8b
3,Flo Allen,eng ENG,DF,Bristol City,17,1999,5,4,371,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,05fae887
4,Remi Allen,eng ENG,MFDF,Reading,26,1990,8,7,676,7.5,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,29bbd006
5,Eniola Aluko,eng ENG,FW,Chelsea,29,1987,2,2,74,0.8,0,1,0,0,0,0,0,0.00,1.22,1.22,0.00,1.22,Matches,d13cfb64
6,Chloe Arthur,sct SCO,MFFW,Bristol City,22,1995,8,8,720,8.0,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches,e91e309c
7,Kosovare Asllani,se SWE,FWMF,Manchester City,27,1989,4,3,274,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches,1d994521
8,Freda Ayisi,eng ENG,MFFW,Birmingham City,22,1994,6,2,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd99ff70
9,Ramona Bachmann,ch SUI,FWMF,Chelsea,26,1990,8,4,435,4.8,3,5,3,0,0,0,0,0.62,1.03,1.66,0.62,1.66,Matches,28392158
10,Sophie Baggaley,eng ENG,GK,Birmingham City,20,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,410be8c7
11,Stephanie Bannon,eng ENG,DF,Sunderland,27,1989,8,8,708,7.9,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,913b6277
12,Karen Bardsley,eng ENG,GK,Manchester City,32,1984,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c903a2d
13,Molly Bartrip,eng ENG,DF,Reading,20,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6f1d507
14,Jennifer Beattie,sct SCO,DF,Manchester City,25,1991,7,6,489,5.4,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,bd8b51ce
15,Ann-Katrin Berger,de GER,GK,Birmingham City,26,1990,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,be9f3298
16,Helen Bleazard,wls WAL,MFDF,Yeovil Town,26,1990,8,8,720,8.0,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,86e0a7e3
17,Hannah Blundell,eng ENG,MFDF,Chelsea,22,1994,5,4,354,3.9,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,fe9eaddc
18,Gemma Bonner,eng ENG,DF,Liverpool,25,1991,8,8,720,8.0,3,0,3,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,488a84df
19,Ellie Brazil,eng ENG,FWMF,Birmingham City,18,1999,6,5,441,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50000805
20,Jodie Brett,eng ENG,MFFW,Bristol City,20,1996,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea0b1de2
21,Millie Bright,eng ENG,DF,Chelsea,23,1993,7,7,600,6.7,2,1,2,0,0,0,0,0.30,0.15,0.45,0.30,0.45,Matches,22fccf20
22,Lucy Bronze,eng ENG,DF,Manchester City,25,1991,7,6,569,6.3,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,5056c581
23,Danielle Brown,eng ENG,MFDF,Sunderland,18,1998,3,2,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c7381daf
24,Frankie Brown,sct SCO,DFMF,Bristol City,29,1987,5,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5613c4f9
25,Dominique Bruinenberg,nl NED,MF,Sunderland,24,1993,8,8,687,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,34fa4669
26,Lauren Bruton,eng ENG,FWMF,Reading,24,1992,7,7,625,6.9,2,0,0,2,2,0,0,0.29,0.00,0.29,0.00,0.00,Matches,c630d3f5
27,Leah Burridge,eng ENG,MF,Yeovil Town,,,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b018e71b
28,Megan Campbell,ie IRL,DF,Manchester City,23,1993,7,3,306,3.4,1,1,1,0,0,0,0,0.29,0.29,0.59,0.29,0.59,Matches,621f756c
29,Karen Carney,eng ENG,MFFW,Chelsea,29,1987,7,6,496,5.5,4,5,3,1,1,0,0,0.73,0.91,1.63,0.54,1.45,Matches,06effb1f
30,Danielle Carter,eng ENG,MFFW,Arsenal,23,1993,7,7,609,6.8,4,3,4,0,0,0,0,0.59,0.44,1.03,0.59,1.03,Matches,5d6d3dbb
31,Jessica Carter,eng ENG,MFDF,Birmingham City,19,1997,7,6,549,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bb5e99fc
32,Siobhan Chamberlain,eng ENG,GK,Liverpool,33,1983,8,8,720,8.0,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,2155c9cf
33,Brooke Chaplen,eng ENG,MF,Reading,27,1989,3,3,201,2.2,1,0,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,a7600cca
34,Katie Chapman,eng ENG,MF,Chelsea,34,1982,6,6,540,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b0489440
35,Niamh Charles,eng ENG,MFFW,Liverpool,17,1999,7,7,545,6.1,0,2,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,cf19f181
36,Izzy Christiansen,eng ENG,MFFW,Manchester City,25,1991,7,5,454,5.0,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,7bbb9b03
37,Jessica Clarke,eng ENG,FW,Liverpool,27,1989,7,4,371,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,a16b6619
38,Molly Clarke,eng ENG,MF,Yeovil Town,25,1991,3,2,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d7835595
39,Laura Coombs,eng ENG,MF,Liverpool,26,1991,8,8,720,8.0,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,dfe6be0f
40,Deanna Cooper,eng ENG,DFMF,Chelsea,23,1993,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dffb640d
41,Nicola Cousins,wls WAL,DFMF,Yeovil Town,28,1988,8,8,624,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,403a3bf8
42,Ellie Curson,wls WAL,MF,Yeovil Town,22,1994,8,8,640,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,65e3f92b
43,Erin Cuthbert,sct SCO,FWMF,Chelsea,18,1998,5,3,249,2.8,4,1,4,0,0,0,0,1.45,0.36,1.81,1.45,1.81,Matches,76a887a9
44,Gemma Davison,eng ENG,MF,Chelsea,29,1987,7,4,381,4.2,0,1,0,0,1,1,0,0.00,0.24,0.24,0.00,0.24,Matches,04629c12
45,Mandy van den Berg,nl NED,DFMF,Reading,26,1990,4,3,255,2.8,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,358bfa81
46,Daniëlle van de Donk,nl NED,MF,Arsenal,25,1991,8,7,600,6.7,2,2,2,0,0,0,0,0.30,0.30,0.60,0.30,0.60,Matches,6876815f
47,Toni Duggan,eng ENG,FW,Manchester City,25,1991,6,5,477,5.3,4,1,3,1,1,0,0,0.75,0.19,0.94,0.57,0.75,Matches,51aefd7f
48,Crystal Dunn,us USA,FWMF,Chelsea,24,1992,8,5,542,6.0,1,3,1,0,0,0,0,0.17,0.50,0.66,0.17,0.66,Matches,a20c6459
49,Loren Dykes,wls WAL,DF,Bristol City,28,1988,2,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,67bb6983
50,Mary Earps,eng ENG,GK,Reading,23,1993,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca2eabf4
51,Claire Emslie,sct SCO,FWMF,Bristol City,22,1994,8,8,720,8.0,1,2,0,1,1,0,0,0.12,0.25,0.37,0.00,0.25,Matches,f2284088
52,Bethany England,eng ENG,MFDF,Chelsea,22,1994,6,6,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ccb1bd8b
53,Charlie Estcourt,wls WAL,MF,Reading,18,1998,4,3,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0555042
54,Georgia Evans,wls WAL,MFFW,Bristol City,21,1995,6,6,461,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1fced29
