,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
55,Marisa Ewers,de GER,MFFW,Birmingham City,27,1989,4,3,211,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eac6835d
56,Niamh Fahey,ie IRL,DF,Chelsea,29,1987,2,1,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb226c03
57,Olivia Fergusson,eng ENG,FWMF,Bristol City,21,1995,6,6,525,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ce79f86
58,Gilly Flaherty,eng ENG,DF,Chelsea,25,1991,6,5,463,5.1,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,c7cbc20d
59,Ellie Fletcher,eng ENG,DF,Liverpool,,,2,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1034a58f
60,Melissa Fletcher,wls WAL,FWMF,Reading,25,1992,7,5,369,4.1,3,0,3,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,e1e8cca7
61,Rachel Furness,nir NIR,MF,Reading,28,1988,7,7,571,6.3,1,1,1,0,0,3,0,0.16,0.16,0.32,0.16,0.32,Matches,30260df0
62,Bridget Galloway,eng ENG,MF,Sunderland,,,1,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a63431bc
63,Anna Green,nz NZL,MFDF,Reading,26,1990,6,6,484,5.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,215a9c4f
64,Alex Greenwood,eng ENG,DF,Liverpool,23,1993,6,6,522,5.8,2,5,1,1,1,0,0,0.34,0.86,1.21,0.17,1.03,Matches,d935ee5a
65,Hilde Gunn Olsen,no NOR,GK,Sunderland,24,1992,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4437195
66,Natalie Haigh,eng ENG,DF,Yeovil Town,17,1999,6,5,482,5.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,85d307f6
67,Coral-Jade Haines,eng ENG,MF,Birmingham City,20,1996,4,2,160,1.8,0,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,Matches,0d8a32bc
68,Natasha Harding,wls WAL,FWMF,Liverpool,27,1989,8,8,681,7.6,4,3,4,0,0,0,0,0.53,0.40,0.93,0.53,0.93,Matches,8d6d0bf1
69,Kerys Harrop,eng ENG,DF,Birmingham City,26,1990,7,6,557,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6966699
70,Charlotte Haynes,eng ENG,GK,Yeovil Town,,,2,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,74cd3dd3
71,Ann-Marie Heatherson,eng ENG,MFFW,Yeovil Town,32,1984,8,8,676,7.5,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,1b81aa5e
72,Andrine Hegerberg,no NOR,MFDF,Birmingham City,23,1993,7,6,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4780ee34
73,Lauren Hemp,eng ENG,FW,Bristol City,16,2000,4,3,278,3.1,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,d979e267
74,Madelaine Hill,eng ENG,MF,Sunderland,,,7,7,601,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3da1513c
75,Kayleigh Hines,eng ENG,MF,Reading,25,1991,3,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8105a38f
76,Ashley Hodson,eng ENG,DFMF,Liverpool,21,1995,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c022ea68
77,Abby Holmes,eng ENG,MFDF,Sunderland,25,1991,8,8,688,7.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,55946c66
78,Steph Houghton,eng ENG,DF,Manchester City,28,1988,8,7,660,7.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,378ce9a0
79,Marie Hourihan,ie IRL,GK,Manchester City,29,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb40b39b
80,Carla Humphrey,eng ENG,FWMF,Arsenal,20,1996,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,341633fc
81,Sophie Ingle,wls WAL,DFMF,Liverpool,25,1991,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,64623394
82,Bow Jackson,eng ENG,DF,Yeovil Town,,,2,2,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdd5e9bb
83,Angharad James,wls WAL,MF,Yeovil Town,22,1994,4,3,257,2.9,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,6444e5a0
84,Rebecca Jane,eng ENG,DFMF,Reading,24,1992,7,7,621,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af03972f
85,Dominique Janssen,nl NED,DF,Arsenal,22,1995,7,7,602,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,800b668b
86,Ali Johnson,eng ENG,MF,Liverpool,,,5,0,96,1.1,0,1,0,0,0,0,0,0.00,0.94,0.94,0.00,0.94,Matches,4ba2c39a
87,Abbey Joice,eng ENG,FW,Sunderland,,,8,7,583,6.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf51685a
88,Jessica Jones,eng ENG,MF,Yeovil Town,17,1999,6,1,189,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ab12a6f
89,Nia Jones,wls WAL,MFDF,Yeovil Town,24,1992,8,7,581,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,edb0e902
90,Chloe Kelly,eng ENG,FWDF,Arsenal,19,1998,7,3,281,3.1,2,0,2,0,0,0,0,0.64,0.00,0.64,0.64,0.64,Matches,9ff67bf9
91,Fran Kirby,eng ENG,MFFW,Chelsea,23,1993,5,2,245,2.7,6,0,6,0,0,0,0,2.20,0.00,2.20,2.20,2.20,Matches,bd91e11f
92,Frances Kitching,eng ENG,GK,Chelsea,18,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a91247a
93,Hayley Ladd,wls WAL,DFMF,Bristol City,23,1993,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e4d1c4c
94,Anissa Lahmari,fr FRA,FW,Reading,19,1997,6,1,170,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f67592fa
95,Mollie Lambert,eng ENG,MF,Sunderland,,,7,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f88a353
96,Melissa Lawley,eng ENG,FW,Manchester City,22,1994,5,4,323,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,6ca0cbee
97,Nadia Lawrence,wls WAL,FWMF,Yeovil Town,27,1989,8,8,716,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,568d4d19
98,Caitlin Leach,eng ENG,GK,Bristol City,20,1996,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9efd3c77
99,Beverly Leon,us USA,FW,Sunderland,24,1992,8,3,383,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,ca4475ad
100,Kirsty Linnett,eng ENG,MFFW,Reading,23,1993,6,4,435,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,23a667a7
101,Carli Lloyd,us USA,MF,Manchester City,34,1982,4,3,285,3.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,f9589b2d
102,Kate Longhurst,eng ENG,MF,Liverpool,27,1989,7,1,148,1.6,0,1,0,0,0,3,1,0.00,0.61,0.61,0.00,0.61,Matches,05638837
103,Aoife Mannion,eng ENG,DFMF,Birmingham City,21,1995,8,7,658,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,65be012f
104,Jasmine Matthews,eng ENG,DF,Bristol City,23,1993,4,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,208e9d61
105,Sarah Mayling,eng ENG,MFFW,Birmingham City,19,1997,7,5,487,5.4,0,3,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matches,5aad26a6
106,Katie McCabe,ie IRL,DFFW,Arsenal,21,1995,3,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb3a3ff4
107,Abbie McManus,eng ENG,DFMF,Manchester City,24,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b4fff19
108,Beth Mead,eng ENG,FW,Arsenal,21,1995,5,3,262,2.9,1,2,1,0,0,0,0,0.34,0.69,1.03,0.34,1.03,Matches,921c8f1d
109,Tessel Middag,nl NED,MF,Manchester City,24,1992,2,2,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,391e83d9
110,Maren Mjelde,no NOR,MFDF,Chelsea,27,1989,8,8,696,7.7,2,3,2,0,0,0,0,0.26,0.39,0.65,0.26,0.65,Matches,3bf287fc
111,Jade Moore,eng ENG,FWMF,Reading,26,1990,6,4,436,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4319f536
112,Anna Moorhouse,eng ENG,GK,Arsenal,21,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,271c5edc
113,Jordan Nobbs,eng ENG,MF,Arsenal,24,1992,8,8,720,8.0,4,3,4,0,0,0,0,0.50,0.37,0.87,0.50,0.87,Matches,2225335c
114,Heather O'Reilly,us USA,FWMF,Arsenal,32,1985,8,7,636,7.1,2,2,1,1,1,1,0,0.28,0.28,0.57,0.14,0.42,Matches,1590d091
115,Aimee Palmer,eng ENG,MF,Bristol City,16,2000,3,1,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,37d866d9
116,Nikita Parris,eng ENG,FW,Manchester City,22,1994,6,5,472,5.2,2,2,2,0,0,0,0,0.38,0.38,0.76,0.38,0.76,Matches,fa5faf19
117,Anna Patten,eng ENG,DF,Arsenal,17,1999,8,8,720,8.0,0,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,5d6376ee
118,Poppy Pattinson,eng ENG,DF,Sunderland,16,2000,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eced0e75
119,Kirsty Pearce,,DFMF,Reading,,,8,8,720,8.0,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,806513bf
120,Chloe Peplow,eng ENG,MFDF,Birmingham City,18,1998,3,3,242,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b503594e
121,Jo Potter,eng ENG,MFFW,Reading,32,1984,4,3,239,2.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,ffe84701
122,Anke Preuß,de GER,GK,Sunderland,24,1992,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,07943bfe
123,Ella Pusey,eng ENG,FW,Yeovil Town,,,5,0,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86321258
124,Louise Quinn,ie IRL,DF,Arsenal,26,1990,5,3,303,3.4,3,0,3,0,0,0,0,0.89,0.00,0.89,0.89,0.89,Matches,4aa73137
125,Keira Ramshaw,eng ENG,FWDF,Sunderland,23,1994,8,5,468,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5385eb45
126,Stephanie Roche,ie IRL,MFFW,Sunderland,27,1989,8,6,509,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8fd13891
127,Amy Rodgers,eng ENG,DF,Liverpool,16,2000,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f15e6a9
128,Ellie Roebuck,eng ENG,GK,Manchester City,17,1999,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16d7db66
129,Lindsay Rogers,eng ENG,FW,Yeovil Town,,,8,8,616,6.8,2,1,2,0,1,0,0,0.29,0.15,0.44,0.29,0.44,Matches,42dbac50
130,Jane Ross,sct SCO,FW,Manchester City,27,1989,4,3,248,2.8,2,0,2,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,8844be23
131,Rachel Rowe,wls WAL,MF,Reading,24,1992,4,4,360,4.0,2,3,2,0,0,0,0,0.50,0.75,1.25,0.50,1.25,Matches,3a336e9f
132,Shanice van de Sanden,nl NED,MFFW,Liverpool,24,1992,7,6,547,6.1,0,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,43dfb0fd
133,Meaghan Sargeant,eng ENG,DF,Birmingham City,22,1994,7,7,602,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,030e6560
134,Paige Sawyer,eng ENG,FW,Bristol City,17,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1b02fc3
135,Alex Scott,eng ENG,DF,Arsenal,32,1984,6,6,484,5.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ffc7693
136,Harriet Scott,ie IRL,DF,Reading,23,1993,8,6,566,6.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,9ea4f36a
137,Jill Scott,eng ENG,MF,Manchester City,29,1987,8,5,484,5.4,3,1,3,0,0,0,0,0.56,0.19,0.74,0.56,0.74,Matches,bb3bd078
138,Hayley Sharp,eng ENG,DF,Sunderland,26,1990,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a2955e71
139,Hannah Short,eng ENG,DF,Yeovil Town,23,1993,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59a2fc58
140,Kelly Snook,eng ENG,MF,Yeovil Town,,,4,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89c76384
141,Ji So-yun,kr KOR,FWMF,Chelsea,25,1991,7,5,469,5.2,4,4,4,0,0,0,0,0.77,0.77,1.54,0.77,1.54,Matches,60d80b92
142,Drew Spence,jm JAM,MFFW,Chelsea,24,1992,7,4,389,4.3,4,0,4,0,0,0,0,0.93,0.00,0.93,0.93,0.93,Matches,8983fe4a
143,Lucy Staniforth,eng ENG,MF,Sunderland,24,1992,8,8,683,7.6,2,0,1,1,1,1,0,0.26,0.00,0.26,0.13,0.13,Matches,2ee41ad7
144,Georgia Stanway,eng ENG,FWMF,Manchester City,18,1999,7,5,452,5.0,1,2,1,0,0,0,0,0.20,0.40,0.60,0.20,0.60,Matches,89c43b54
145,Demi Stokes,eng ENG,DF,Manchester City,25,1991,7,7,586,6.5,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches,a49a1c85
146,Casey Stoney,eng ENG,DF,Liverpool,34,1982,5,5,397,4.4,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,5f2d47ff
147,Abbey-Leigh Stringer,eng ENG,MFFW,Birmingham City,21,1995,7,7,629,7.0,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,d2fb8712
148,Emily Syme,eng ENG,MF,Bristol City,16,2000,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,abf0120b
149,Jodie Taylor,eng ENG,FW,Arsenal,30,1986,7,4,361,4.0,3,1,2,1,2,0,0,0.75,0.25,1.00,0.50,0.75,Matches,dc02c40a
150,Carly Telford,eng ENG,GK,Chelsea,29,1987,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a428bcd0
151,Ella Toone,eng ENG,FWMF,Manchester City,17,1999,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea1a4530
152,Millie Turner,eng ENG,DFMF,Bristol City,20,1996,8,8,709,7.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53926a7a
153,Sari van Veenendaal,nl NED,GK,Arsenal,26,1990,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2803b53
154,Keira Walsh,eng ENG,MFDF,Manchester City,19,1997,8,8,674,7.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ca934b6b
155,Megan Walsh,ie IRL,GK,Yeovil Town,22,1994,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8694b82e
156,Olivia Watt,eng ENG,MF,Sunderland,,,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f5503ebb
157,Caroline Weir,sct SCO,MFFW,Liverpool,21,1995,8,8,587,6.5,5,0,5,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches,b30c8ad2
158,Charlie Wellings,eng ENG,FW,Birmingham City,18,1998,7,3,280,3.1,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,af308521
159,Emily Westwood,eng ENG,DFMF,Birmingham City,32,1984,6,6,504,5.6,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,b35af19b
