,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Shannon Albuery,eng ENG,FWMF,Yeovil Town,,,7,3,322,3.6,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.7,0.7,0.1,0.8,0.21,0.02,0.22,0.21,0.22,Matches,52a3113d
2,Megan Alexander,eng ENG,DF,Yeovil Town,24,1993,20,20,1800,20.0,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.1,0.1,2.3,2.4,0.01,0.12,0.12,0.01,0.12,Matches,236bda8b
3,Flo Allen,eng ENG,DF,Bristol City,18,1999,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,05fae887
4,Remi Allen,eng ENG,MF,Reading,27,1990,19,19,1652,18.4,2,2,2,0,0,7,0,0.11,0.11,0.22,0.11,0.22,3.1,3.1,1.9,5.0,0.17,0.10,0.27,0.17,0.27,Matches,29bbd006
5,Jonna Andersson,se SWE,DF,Chelsea,25,1993,18,18,1504,16.7,0,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,3.4,4.2,0.05,0.20,0.25,0.05,0.25,Matches,5f50a940
6,Janni Arnth,dk DEN,DF,Arsenal,31,1986,6,3,256,2.8,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.5,0.5,0.0,0.5,0.16,0.02,0.18,0.16,0.18,Matches,e4e3c571
7,Chloe Arthur,sct SCO,MF,Birmingham City,23,1995,19,16,1426,15.8,1,2,1,0,0,0,0,0.06,0.13,0.19,0.06,0.19,1.0,1.0,0.9,1.9,0.06,0.06,0.12,0.06,0.12,Matches,e91e309c
8,Anita Asante,eng ENG,DF,Chelsea,33,1985,3,2,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3f052127
9,Rosella Ayane,ma MAR,FWMF,Bristol City,22,1996,15,8,795,8.8,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.6,1.6,0.12,0.07,0.18,0.12,0.18,Matches,41548209
10,Rinsola Babajide,eng ENG,MFFW,Liverpool,20,1998,17,10,1001,11.1,4,0,4,0,0,3,0,0.36,0.00,0.36,0.36,0.36,2.7,2.7,1.0,3.7,0.24,0.09,0.33,0.24,0.33,Matches,ca9f6f0a
