,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
73,Gabrielle George,eng ENG,DF,Everton,22,1997,13,13,1170,13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.05,0.02,0.07,0.05,0.07,Matches,a706e82f
74,Lee Geum-min,kr KOR,MFFW,Manchester City,25,1994,3,0,44,0.5,1,0,1,0,0,0,0,2.05,0.00,2.05,2.05,2.05,0.4,0.4,0.0,0.4,0.79,0.09,0.89,0.79,0.89,Matches,3137ff06
75,Felicity Gibbons,eng ENG,DF,Brighton,25,1994,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.02,0.05,0.07,0.02,0.07,Matches,6357bee3
76,Hannah Godfrey,sct SCO,DF,Tottenham,22,1997,14,14,1260,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches,22955271
77,Esmee de Graaf,nl NED,FW,West Ham,21,1997,2,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c2aea32c
78,Kit Graham,eng ENG,FWMF,Tottenham,23,1995,14,12,1077,12.0,3,1,3,0,0,1,0,0.25,0.08,0.33,0.25,0.33,2.8,2.8,0.8,3.6,0.24,0.07,0.30,0.24,0.30,Matches,7cdb3c2e
79,Lucy Graham,sct SCO,MF,Everton,22,1996,14,14,1233,13.7,4,2,3,1,1,2,0,0.29,0.15,0.44,0.22,0.36,2.1,1.3,1.6,2.9,0.16,0.12,0.27,0.10,0.21,Matches,1691b0ef
80,Abbi Grant,sct SCO,FWMF,Birmingham City,23,1995,13,13,1069,11.9,2,0,2,0,0,1,0,0.17,0.00,0.17,0.17,0.17,1.5,1.5,1.0,2.5,0.13,0.08,0.21,0.13,0.21,Matches,a78931f2
81,Josephine Green,wls WAL,MF,Tottenham,26,1993,14,12,1112,12.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches,90ca21de
82,Kayleigh Green,wls WAL,FWMF,Brighton,31,1988,16,14,1262,14.0,2,2,1,1,1,3,0,0.14,0.14,0.29,0.07,0.21,3.4,2.6,3.5,6.1,0.24,0.25,0.49,0.19,0.43,Matches,a40b9d09
83,Freya Gregory,eng ENG,FW,Birmingham City,16,2003,3,1,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,08ebd353
84,Jackie Groenen,nl NED,MF,Manchester Utd,24,1994,12,12,1024,11.4,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,2.2,2.2,2.6,4.8,0.19,0.23,0.42,0.19,0.42,Matches,6698c9f0
85,Coral-Jade Haines,eng ENG,MF,Tottenham,23,1996,3,2,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.10,0.04,0.14,0.10,0.14,Matches,0d8a32bc
86,Hannah Hampton,eng ENG,GK,Birmingham City,18,2000,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,87f3ffa4
87,Kirsty Hanson,sct SCO,FW,Manchester Utd,21,1998,11,6,498,5.5,3,1,3,0,0,0,0,0.54,0.18,0.72,0.54,0.72,2.0,2.0,1.3,3.3,0.37,0.23,0.60,0.37,0.60,Matches,2457a6c7
88,Natasha Harding,wls WAL,DFFW,Reading,30,1989,8,6,570,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.05,0.05,0.10,0.05,0.10,Matches,8d6d0bf1
89,Martha Harris,eng ENG,DF,Manchester Utd,24,1994,11,9,835,9.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.03,0.05,0.07,0.03,0.07,Matches,5343ce75
90,Sophie Harris,eng ENG,GK,Brighton,24,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,63c09eda
91,Abigail Harrison,sct SCO,FW,Bristol City,21,1997,6,5,355,3.9,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.5,0.5,0.3,0.7,0.12,0.07,0.18,0.12,0.18,Matches,f39ee5a1
92,Kerys Harrop,eng ENG,DF,Birmingham City,28,1990,7,6,556,6.2,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,0.3,0.3,0.0,0.3,0.04,0.00,0.05,0.04,0.05,Matches,c6966699
93,Lauren Hemp,eng ENG,MFFW,Manchester City,18,2000,14,13,1134,12.6,5,5,5,0,0,2,0,0.40,0.40,0.79,0.40,0.79,4.2,4.2,2.7,6.9,0.34,0.21,0.55,0.34,0.55,Matches,d979e267
94,Brooke Hendrix,us USA,DF,West Ham,26,1993,7,4,403,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,ab662bbc
95,Taylor Hinds,eng ENG,DF,Everton,19,1999,6,2,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,a760a666
96,Ashley Hodson,eng ENG,FWMF,Liverpool,24,1995,13,2,252,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.7,0.02,0.22,0.24,0.02,0.24,Matches,c022ea68
97,Rebecca Holloway,nir NIR,DF,Birmingham City,23,1995,11,11,974,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,c50ff385
98,Rakel Hönnudóttir,is ISL,FW,Reading,30,1988,4,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,324189ae
99,Steph Houghton,eng ENG,DF,Manchester City,31,1988,16,16,1440,16.0,2,1,2,0,0,0,0,0.12,0.06,0.19,0.12,0.19,1.1,1.1,1.5,2.6,0.07,0.10,0.16,0.07,0.16,Matches,378ce9a0
100,Sophie Howard,sct SCO,DF,Reading,25,1993,11,11,909,10.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.03,0.01,0.05,0.03,0.05,Matches,4b98901d
101,Elise Hughes,wls WAL,FWMF,Bristol City,18,2001,3,2,163,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,f38faa55
102,Elise Hughes,wls WAL,FW,Everton,18,2001,4,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.03,0.12,0.09,0.12,Matches,f38faa55
103,Carla Humphrey,eng ENG,MF,Bristol City,22,1996,8,8,686,7.6,0,2,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,0.3,0.3,1.2,1.5,0.05,0.16,0.20,0.05,0.20,Matches,341633fc
104,Sophie Ingle,wls WAL,MF,Chelsea,27,1991,15,15,1264,14.0,4,0,4,0,0,1,0,0.28,0.00,0.28,0.28,0.28,1.8,1.8,0.9,2.7,0.13,0.06,0.19,0.13,0.19,Matches,64623394
105,Angharad James,wls WAL,MFDF,Reading,25,1994,14,13,1133,12.6,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,0.4,0.4,1.5,1.9,0.03,0.12,0.15,0.03,0.15,Matches,6444e5a0
106,Lauren James,eng ENG,FW,Manchester Utd,17,2001,12,9,796,8.8,6,0,6,0,0,6,1,0.68,0.00,0.68,0.68,0.68,4.4,4.4,0.4,4.9,0.50,0.05,0.55,0.50,0.55,Matches,d6c2ee71
107,Rebecca Jane,eng ENG,DF,Liverpool,27,1992,14,14,1256,14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.01,0.04,0.05,0.01,0.05,Matches,af03972f
108,Adrienne Jordan,us USA,DF,Birmingham City,25,1994,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches,f34c301f
109,Inessa Kaagman,nl NED,FWMF,Everton,23,1996,12,12,985,10.9,1,2,1,0,0,2,0,0.09,0.18,0.27,0.09,0.27,1.7,1.7,1.1,2.8,0.16,0.10,0.26,0.16,0.26,Matches,4f9ac754
110,Lisa-Marie Karlseng Utland,no NOR,FWMF,Reading,26,1992,10,3,357,4.0,1,0,1,0,0,2,0,0.25,0.00,0.25,0.25,0.25,0.8,0.8,0.6,1.5,0.21,0.16,0.37,0.21,0.37,Matches,f7fefe42
