,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Angela Addison,eng ENG,FWMF,Tottenham,19,1999,7,2,202,2.2,1,1,1,0,0,0,0,0.45,0.45,0.89,0.45,0.89,0.4,0.4,0.2,0.5,0.16,0.07,0.23,0.16,0.23,Matches,4fdc46a1
2,Flo Allen,eng ENG,DF,Bristol City,19,1999,6,3,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,05fae887
3,Remi Allen,eng ENG,MF,Reading,28,1990,12,12,1080,12.0,3,3,3,0,0,4,0,0.25,0.25,0.50,0.25,0.50,4.2,4.2,1.7,5.9,0.35,0.14,0.49,0.35,0.49,Matches,29bbd006
4,Jonna Andersson,se SWE,DF,Chelsea,26,1993,15,14,1271,14.1,0,5,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.7,0.7,3.6,4.3,0.05,0.25,0.30,0.05,0.30,Matches,5f50a940
5,Lizzie Arnot,sct SCO,FWMF,Manchester Utd,23,1996,4,0,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.74,0.12,0.86,0.74,0.86,Matches,dd036c80
6,Chloe Arthur,sct SCO,MF,Birmingham City,24,1995,12,12,1067,11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches,e91e309c
7,Rosella Ayane,ma MAR,FWMF,Tottenham,23,1996,11,6,574,6.4,0,1,0,0,0,2,1,0.00,0.16,0.16,0.00,0.16,1.9,1.9,0.4,2.2,0.29,0.06,0.35,0.29,0.35,Matches,41548209
8,Rinsola Babajide,eng ENG,FWMF,Liverpool,21,1998,12,7,740,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,2.5,2.5,0.4,2.8,0.30,0.04,0.34,0.30,0.34,Matches,ca9f6f0a
9,Ramona Bachmann,ch SUI,FWMF,Chelsea,28,1990,12,5,567,6.3,1,2,1,0,0,0,0,0.16,0.32,0.48,0.16,0.48,2.1,2.1,1.0,3.2,0.34,0.17,0.50,0.34,0.50,Matches,28392158
10,Sophie Baggaley,eng ENG,GK,Bristol City,22,1996,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,410be8c7
11,Jade Bailey,jm JAM,MF,Liverpool,23,1995,13,13,1135,12.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.1,0.03,0.05,0.08,0.03,0.08,Matches,3829d6df
12,Kirsty Barton,eng ENG,DF,Brighton,27,1992,10,10,899,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches,7c6d13ea
13,Molly Bartrip,eng ENG,DF,Reading,23,1996,4,2,245,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a6f1d507
14,Katharina Baunach,de GER,DF,West Ham,30,1989,12,12,1041,11.6,3,0,3,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.5,0.5,0.9,1.5,0.05,0.08,0.13,0.05,0.13,Matches,6c339bd8
15,Jennifer Beattie,sct SCO,DF,Arsenal,28,1991,10,9,822,9.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,0.9,0.06,0.04,0.10,0.06,0.10,Matches,bd8b51ce
16,Janine Beckie,ca CAN,DFFW,Manchester City,24,1994,14,14,1170,13.0,0,8,0,0,0,1,0,0.00,0.62,0.62,0.00,0.62,2.3,2.3,6.3,8.6,0.18,0.48,0.66,0.18,0.66,Matches,43466fe0
17,Karima Benameur,fr FRA,GK,Manchester City,30,1989,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eea7cfb1
18,Ann-Katrin Berger,de GER,GK,Chelsea,28,1990,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,be9f3298
19,Laura Blindkilde,eng ENG,FW,Birmingham City,15,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c203fd8a
20,Hannah Blundell,eng ENG,DF,Chelsea,25,1994,8,4,417,4.6,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.6,0.6,0.3,0.9,0.14,0.06,0.19,0.14,0.19,Matches,fe9eaddc
21,Gemma Bonner,eng ENG,DF,Manchester City,28,1991,16,16,1440,16.0,3,0,3,0,0,3,0,0.19,0.00,0.19,0.19,0.19,2.9,2.9,0.3,3.2,0.18,0.02,0.20,0.18,0.20,Matches,488a84df
22,Chantelle Boye-Hlorkah,eng ENG,FW,Everton,23,1995,10,6,616,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.3,2.3,0.14,0.19,0.33,0.14,0.33,Matches,c87eb969
23,Sophie Bradley,eng ENG,DF,Liverpool,29,1989,14,14,1260,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.03,0.01,0.05,0.03,0.05,Matches,947f1c75
24,Ellie Brazil,eng ENG,MFFW,Brighton,20,1999,6,6,451,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.4,1.7,0.25,0.09,0.34,0.25,0.34,Matches,50000805
25,Pauline Bremer,de GER,FW,Manchester City,23,1996,12,6,578,6.4,10,0,10,0,0,0,0,1.56,0.00,1.56,1.56,1.56,5.5,5.5,1.2,6.7,0.86,0.18,1.04,0.86,1.04,Matches,ef20b0e8
26,Millie Bright,eng ENG,DF,Chelsea,25,1993,15,15,1350,15.0,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,1.6,1.6,1.2,2.8,0.10,0.08,0.18,0.10,0.18,Matches,22fccf20
27,Courtney Brosnan,ie IRL,GK,West Ham,23,1995,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches,1cd91ff2
28,Georgia Brougham,eng ENG,DF,Birmingham City,23,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,052a7107
29,Frankie Brown,sct SCO,MFDF,Bristol City,31,1987,13,13,1144,12.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches,5613c4f9
30,Faye Bryson,eng ENG,DF,Bristol City,22,1997,3,2,206,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0d10692c
31,Danielle Buet,eng ENG,MF,Brighton,30,1988,16,16,1340,14.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.01,0.02,0.04,0.01,0.04,Matches,ce9db81a
32,Hannah Cain,wls WAL,FW,Everton,20,1999,13,5,551,6.1,0,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.8,0.8,1.6,2.5,0.14,0.27,0.40,0.14,0.40,Matches,73b140ea
33,Megan Campbell,ie IRL,DF,Manchester City,26,1993,7,3,335,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches,621f756c
34,Jessica Carter,eng ENG,DFMF,Chelsea,21,1997,8,1,173,1.9,1,1,1,0,0,1,0,0.52,0.52,1.04,0.52,1.04,0.8,0.8,0.7,1.5,0.42,0.35,0.77,0.42,0.77,Matches,bb5e99fc
35,Olivia Chance,nz NZL,MF,Bristol City,25,1993,14,10,1021,11.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.04,0.03,0.07,0.04,0.07,Matches,e9a94833
36,Brooke Chaplen,eng ENG,FW,Reading,30,1989,14,13,1003,11.1,3,1,3,0,0,0,0,0.27,0.09,0.36,0.27,0.36,3.1,3.1,0.9,4.0,0.28,0.08,0.36,0.28,0.36,Matches,a7600cca
37,Niamh Charles,eng ENG,FWMF,Liverpool,20,1999,13,13,1064,11.8,2,0,2,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.7,1.7,0.5,2.2,0.14,0.04,0.18,0.14,0.18,Matches,cf19f181
38,Jessica Clarke,eng ENG,FWMF,Liverpool,30,1989,7,4,363,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.1,0.09,0.19,0.28,0.09,0.28,Matches,a16b6619
39,Maéva Clemaron,fr FRA,MF,Everton,26,1992,13,11,982,10.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.02,0.08,0.10,0.02,0.10,Matches,490b7ae2
40,Maisy Collis,eng ENG,DF,Bristol City,19,2000,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b02d0602
41,Megan Connolly,ie IRL,MF,Brighton,22,1997,9,6,601,6.7,1,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,1.1,1.1,0.7,1.8,0.17,0.10,0.27,0.17,0.27,Matches,afed2d24
42,Laura Coombs,eng ENG,MFFW,Manchester City,28,1991,4,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,dfe6be0f
43,Deanna Cooper,eng ENG,DF,Chelsea,26,1993,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dffb640d
44,Erin Cuthbert,sct SCO,MFFW,Chelsea,21,1998,14,12,1067,11.9,2,4,2,0,0,2,0,0.17,0.34,0.51,0.17,0.51,3.2,3.2,4.5,7.7,0.27,0.38,0.65,0.27,0.65,Matches,76a887a9
45,Kenza Dali,fr FRA,MFFW,West Ham,28,1991,14,12,1169,13.0,2,3,1,1,1,2,0,0.15,0.23,0.38,0.08,0.31,1.8,1.0,2.2,3.2,0.14,0.17,0.30,0.08,0.24,Matches,1cb43c5f
46,Yana Daniels,be BEL,MFFW,Bristol City,27,1992,14,13,1173,13.0,2,1,2,0,1,1,0,0.15,0.08,0.23,0.15,0.23,2.1,1.2,0.3,1.5,0.16,0.02,0.19,0.09,0.11,Matches,b33b4a16
47,Gemma Davison,eng ENG,MFFW,Tottenham,32,1987,12,9,876,9.7,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,1.5,2.0,0.05,0.16,0.21,0.05,0.21,Matches,04629c12
48,Rianna Dean,eng ENG,FW,Tottenham,20,1998,14,13,1130,12.6,4,0,2,2,2,1,0,0.32,0.00,0.32,0.16,0.16,5.0,3.5,0.2,3.6,0.40,0.01,0.42,0.28,0.29,Matches,dac61e61
49,Vita van der Linden,nl NED,MF,Bristol City,22,1997,1,1,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ef689703
50,Daniëlle van de Donk,nl NED,FWMF,Arsenal,27,1991,15,14,1277,14.2,5,4,5,0,0,2,0,0.35,0.28,0.63,0.35,0.63,5.4,5.4,3.2,8.6,0.38,0.22,0.61,0.38,0.61,Matches,6876815f
51,Loren Dykes,wls WAL,DF,Bristol City,31,1988,11,10,841,9.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,67bb6983
52,Mary Earps,eng ENG,GK,Manchester Utd,26,1993,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca2eabf4
53,Amalie Eikeland,no NOR,FWMF,Reading,23,1995,14,12,1097,12.2,2,2,2,0,0,2,0,0.16,0.16,0.33,0.16,0.33,2.7,2.7,0.9,3.6,0.22,0.07,0.29,0.22,0.29,Matches,e9c71e6d
54,Bethany England,eng ENG,FW,Chelsea,25,1994,15,15,1320,14.7,14,4,14,0,0,0,0,0.95,0.27,1.23,0.95,1.23,13.8,13.8,3.6,17.4,0.94,0.25,1.19,0.94,1.19,Matches,ccb1bd8b
55,Adelina Engman,fi FIN,FWMF,Chelsea,24,1994,2,1,81,0.9,1,0,1,0,0,0,0,1.11,0.00,1.11,1.11,1.11,0.2,0.2,0.0,0.2,0.27,0.00,0.27,0.27,0.27,Matches,1cf9eca5
56,Magdalena Eriksson,se SWE,DF,Chelsea,25,1993,14,14,1260,14.0,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.5,1.8,0.09,0.04,0.13,0.09,0.13,Matches,bb454bb1
57,Kika van Es,nl NED,DF,Everton,27,1991,10,8,635,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,dd98fa13
58,Gemma Evans,wls WAL,DF,Bristol City,22,1996,12,11,1010,11.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,58e461be
59,Lisa Evans,sct SCO,FWDF,Arsenal,27,1992,15,14,1266,14.1,2,4,2,0,0,0,0,0.14,0.28,0.43,0.14,0.43,2.5,2.5,4.9,7.4,0.18,0.35,0.53,0.18,0.53,Matches,755ef87c
60,Niamh Fahey,ie IRL,DF,Liverpool,31,1987,13,13,1144,12.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.2,0.07,0.03,0.09,0.07,0.09,Matches,cb226c03
61,Millie Farrow,eng ENG,FW,Reading,23,1996,9,3,271,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.26,0.07,0.33,0.26,0.33,Matches,1f35609f
62,Matilde Fidalgo,pt POR,DF,Manchester City,25,1994,2,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,057ad0ac
63,Anna Filbey,wls WAL,DF,Tottenham,19,1999,13,13,1152,12.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04,Matches,1c116781
64,Melisa Filis,eng ENG,FW,Arsenal,17,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a07a7a88
65,Megan Finnigan,eng ENG,DF,Everton,21,1998,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.08,0.00,0.08,0.08,0.08,Matches,7de2938e
66,Grace Fisk,eng ENG,DF,West Ham,21,1998,5,5,422,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3978f8a9
67,Gilly Flaherty,eng ENG,DF,West Ham,27,1991,14,14,1260,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.05,0.01,0.06,0.05,0.06,Matches,c7cbc20d
68,Rachel Furness,nir NIR,MF,Liverpool,31,1988,4,4,360,4.0,4,1,4,0,0,0,0,1.00,0.25,1.25,1.00,1.25,1.4,1.4,1.4,2.8,0.35,0.34,0.69,0.35,0.69,Matches,30260df0
69,Rachel Furness,nir NIR,MFFW,Tottenham,31,1988,9,9,810,9.0,1,0,0,1,2,3,0,0.11,0.00,0.11,0.00,0.00,2.7,1.1,1.6,2.7,0.30,0.18,0.48,0.12,0.30,Matches,30260df0
70,Jeon Ga-eul,kr KOR,MFFW,Bristol City,30,1988,2,2,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a0e999a4
71,Jacynta Galabadaarachchi,au AUS,MFFW,West Ham,18,2001,11,5,490,5.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.07,0.02,0.09,0.07,0.09,Matches,3af2bd89
72,Leah Galton,eng ENG,FW,Manchester Utd,25,1994,12,12,1028,11.4,4,3,4,0,0,0,0,0.35,0.26,0.61,0.35,0.61,3.5,3.5,3.3,6.8,0.31,0.28,0.60,0.31,0.60,Matches,c3d37cec
