,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Angela Addison,eng ENG,FW,Tottenham,20,1999,21,15,1270,14.1,2,0,2,0,0,0,0,0.14,0.00,0.14,0.14,0.14,2.6,2.6,0.5,3.1,0.19,0.03,0.22,0.19,0.22,Matches,4fdc46a1
2,Asmita Ale,eng ENG,DF,Aston Villa,18,2001,18,16,1457,16.2,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.6,0.7,0.00,0.04,0.04,0.00,0.04,Matches,9b894b48
3,Flo Allen,eng ENG,DF,Bristol City,20,1999,16,14,1086,12.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.03,0.03,0.00,0.03,Matches,05fae887
4,Jonna Andersson,se SWE,DF,Chelsea,27,1993,19,18,1563,17.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.5,1.9,0.02,0.09,0.11,0.02,0.11,Matches,5f50a940
5,Mackenzie Arnold,au AUS,GK,West Ham,26,1994,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,30f6344f
6,Chloe Arthur,sct SCO,MF,Aston Villa,25,1995,17,15,1326,14.7,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.8,0.8,0.6,1.4,0.05,0.04,0.09,0.05,0.09,Matches,e91e309c
7,Anita Asante,eng ENG,DFMF,Aston Villa,35,1985,19,19,1659,18.4,1,0,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,0.2,0.4,0.01,0.01,0.02,0.01,0.02,Matches,3f052127
8,Rosella Ayane,ma MAR,FWMF,Tottenham,24,1996,19,10,1005,11.2,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,1.1,1.1,0.4,1.6,0.10,0.04,0.14,0.10,0.14,Matches,41548209
9,Sophie Baggaley,eng ENG,GK,Bristol City,23,1996,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,410be8c7
