,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
10,Libby Bance,eng ENG,MFFW,Brighton,17,2003,10,1,237,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,e50f3e03
11,Karen Bardsley,eng ENG,GK,Manchester City,35,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7c903a2d
12,Maisey Barker,eng ENG,MF,West Ham,18,2002,3,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,Matches,c1603d34
13,Kirsty Barton,eng ENG,DF,Brighton,28,1992,3,1,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7c6d13ea
14,Molly Bartrip,eng ENG,DF,Reading,24,1996,21,20,1817,20.2,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.6,0.6,0.00,0.03,0.03,0.00,0.03,Matches,a6f1d507
15,Ona Batlle,es ESP,DF,Manchester Utd,21,1999,19,19,1632,18.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.1,0.02,0.04,0.06,0.02,0.06,Matches,2a2d32f9
16,Jennifer Beattie,sct SCO,DF,Arsenal,29,1991,8,7,589,6.5,2,0,2,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.8,0.8,0.1,0.9,0.13,0.01,0.13,0.13,0.13,Matches,bd8b51ce
17,Janine Beckie,ca CAN,FWDF,Manchester City,25,1994,14,6,629,7.0,4,1,4,0,0,0,0,0.57,0.14,0.72,0.57,0.72,4.8,4.8,1.1,5.9,0.68,0.16,0.84,0.68,0.84,Matches,43466fe0
18,Agnes Beever-Jones,,FW,Chelsea,17,2003,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,58b6ad69
19,Karima Benameur,fr FRA,GK,Manchester City,31,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eea7cfb1
20,Ann-Katrin Berger,de GER,GK,Chelsea,29,1990,17,17,1530,17.0,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches,be9f3298
21,Emma Bissell,eng ENG,MFFW,Bristol City,18,2001,18,8,794,8.8,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.2,0.9,0.08,0.02,0.10,0.08,0.10,Matches,517b0772
22,Hannah Blundell,eng ENG,DF,Chelsea,26,1994,8,4,464,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches,fe9eaddc
23,Gemma Bonner,eng ENG,DF,Manchester City,29,1991,6,6,494,5.5,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,1.0,1.0,0.0,1.0,0.18,0.00,0.18,0.18,0.18,Matches,488a84df
24,Chantelle Boye-Hlorkah,eng ENG,FWMF,Everton,24,1995,10,0,171,1.9,1,0,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,0.1,0.1,0.1,0.2,0.06,0.06,0.12,0.06,0.12,Matches,c87eb969
25,Ellie Brazil,eng ENG,FWMF,Brighton,21,1999,15,13,1221,13.6,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.9,0.9,0.8,1.7,0.07,0.06,0.13,0.07,0.13,Matches,50000805
26,Millie Bright,eng ENG,DF,Chelsea,26,1993,21,20,1819,20.2,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,0.8,0.8,0.4,1.2,0.04,0.02,0.06,0.04,0.06,Matches,22fccf20
27,Lucy Bronze,eng ENG,DF,Manchester City,28,1991,18,18,1525,16.9,2,5,2,0,0,2,0,0.12,0.30,0.41,0.12,0.41,2.3,2.3,4.2,6.5,0.13,0.25,0.38,0.13,0.38,Matches,5056c581
28,Courtney Brosnan,ie IRL,GK,West Ham,24,1995,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1cd91ff2
29,Georgia Brougham,eng ENG,DF,Birmingham City,24,1996,19,19,1710,19.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches,052a7107
30,Lauren Bruton,eng ENG,FWMF,Reading,27,1992,15,7,718,8.0,3,0,3,0,0,2,0,0.38,0.00,0.38,0.38,0.38,3.9,3.9,0.5,4.4,0.49,0.06,0.56,0.49,0.56,Matches,c630d3f5
31,Dagný Brynjarsdóttir,is ISL,MF,West Ham,28,1991,9,9,802,8.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.07,0.07,0.14,0.07,0.14,Matches,e483bd89
32,Faye Bryson,eng ENG,DF,Bristol City,23,1997,15,7,717,8.0,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.6,0.9,0.05,0.07,0.12,0.05,0.12,Matches,0d10692c
33,Danielle Buet,eng ENG,MFDF,Brighton,31,1988,13,12,1039,11.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.3,0.04,0.07,0.11,0.04,0.11,Matches,ce9db81a
34,Danielle Carter,eng ENG,FW,Reading,27,1993,21,14,1302,14.5,3,0,3,0,0,1,0,0.21,0.00,0.21,0.21,0.21,3.3,3.3,1.2,4.5,0.23,0.08,0.31,0.23,0.31,Matches,5d6d3dbb
35,Jessica Carter,eng ENG,DF,Chelsea,22,1997,9,3,324,3.6,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,bb5e99fc
36,Steph Catley,au AUS,DF,Arsenal,26,1994,6,2,189,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.05,0.08,0.03,0.08,Matches,9ef5bf48
37,Brooke Chaplen,eng ENG,MFFW,Reading,31,1989,8,4,473,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,1.3,1.3,0.7,2.0,0.24,0.13,0.37,0.24,0.37,Matches,a7600cca
38,Niamh Charles,eng ENG,DFFW,Chelsea,21,1999,13,7,649,7.2,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,1.2,1.2,1.3,2.5,0.16,0.18,0.34,0.16,0.34,Matches,cf19f181
39,Izzy Christiansen,eng ENG,MF,Everton,28,1991,22,22,1917,21.3,6,6,4,2,2,2,0,0.28,0.28,0.56,0.19,0.47,4.0,2.5,4.5,7.0,0.19,0.21,0.40,0.12,0.33,Matches,7bbb9b03
40,Hawa Cissoko,fr FRA,DF,West Ham,23,1997,12,6,579,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.08,0.01,0.10,0.08,0.10,Matches,41d9c706
41,Maéva Clemaron,fr FRA,MF,Everton,27,1992,9,6,544,6.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.03,0.10,0.06,0.10,Matches,490b7ae2
42,Grace Clinton,eng ENG,MFFW,Everton,17,2003,6,2,194,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.06,0.08,0.03,0.08,Matches,71657eba
43,Megan Connolly,ie IRL,MFDF,Brighton,23,1997,15,14,1233,13.7,2,2,2,0,0,2,0,0.15,0.15,0.29,0.15,0.29,0.8,0.8,1.5,2.3,0.06,0.11,0.16,0.06,0.16,Matches,afed2d24
44,Laura Coombs,eng ENG,MF,Manchester City,29,1991,13,6,634,7.0,2,1,2,0,0,0,0,0.28,0.14,0.43,0.28,0.43,1.1,1.1,1.5,2.6,0.16,0.21,0.37,0.16,0.37,Matches,dfe6be0f
45,Deanna Cooper,eng ENG,DF,Reading,27,1993,21,20,1737,19.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matches,dffb640d
46,Rachel Corsie,sct SCO,DF,Birmingham City,30,1989,7,7,630,7.0,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches,49fd636f
47,Erin Cuthbert,sct SCO,MFFW,Chelsea,22,1998,19,14,1223,13.6,2,7,2,0,0,0,0,0.15,0.52,0.66,0.15,0.66,2.8,2.8,3.4,6.3,0.21,0.25,0.46,0.21,0.46,Matches,76a887a9
48,Abby Dahlkemper,us USA,DF,Manchester City,27,1993,8,7,645,7.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,52b58405
49,Kenza Dali,fr FRA,MF,West Ham,29,1991,18,15,1356,15.1,3,4,3,0,1,1,0,0.20,0.27,0.46,0.20,0.46,2.4,1.6,2.7,4.3,0.16,0.18,0.34,0.11,0.29,Matches,1cb43c5f
50,Rachel Daly,eng ENG,FWDF,West Ham,28,1991,9,8,765,8.5,3,1,3,0,0,4,0,0.35,0.12,0.47,0.35,0.47,1.8,1.8,1.1,2.9,0.21,0.13,0.34,0.21,0.34,Matches,7fa35ec9
51,Yana Daniels,be BEL,MFFW,Bristol City,28,1992,22,19,1713,19.0,1,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,0.6,0.6,1.2,1.8,0.03,0.06,0.09,0.03,0.09,Matches,b33b4a16
52,Millie Davies,,FWDF,Manchester City,17,2003,4,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,d6fb8293
53,Gemma Davison,eng ENG,FWMF,Tottenham,33,1987,16,10,861,9.6,1,1,1,0,0,0,0,0.10,0.10,0.21,0.10,0.21,0.4,0.4,1.1,1.5,0.04,0.11,0.15,0.04,0.15,Matches,04629c12
54,Rianna Dean,eng ENG,FW,Tottenham,21,1998,16,10,876,9.7,0,1,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,1.0,1.0,0.9,1.9,0.10,0.10,0.20,0.10,0.20,Matches,dac61e61
55,Anouk Denton,eng ENG,FW,Arsenal,17,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,27356e72
56,Anouk Denton,eng ENG,FWDF,West Ham,17,2003,3,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,27356e72
57,Daniëlle van de Donk,nl NED,MFFW,Arsenal,28,1991,21,14,1259,14.0,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,1.8,1.8,2.5,4.3,0.13,0.18,0.31,0.13,0.31,Matches,6876815f
58,Mary Earps,eng ENG,GK,Manchester Utd,27,1993,22,22,1980,22.0,0,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca2eabf4
59,Emily van Egmond,au AUS,MFFW,West Ham,27,1993,21,19,1792,19.9,4,2,4,0,0,1,0,0.20,0.10,0.30,0.20,0.30,2.5,2.5,1.5,4.0,0.12,0.08,0.20,0.12,0.20,Matches,6e9716f6
60,Damaris Egurrola,nl NED,MFDF,Everton,20,1999,6,6,526,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.11,0.01,0.12,0.11,0.12,Matches,69b76db4
61,Amalie Eikeland,no NOR,MFFW,Reading,24,1995,22,19,1576,17.5,2,0,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,4.0,4.0,1.3,5.3,0.23,0.07,0.30,0.23,0.30,Matches,e9c71e6d
62,Claire Emslie,sct SCO,FW,Everton,26,1994,19,16,1289,14.3,3,5,3,0,0,2,0,0.21,0.35,0.56,0.21,0.56,2.8,2.8,2.5,5.3,0.19,0.18,0.37,0.19,0.37,Matches,f2284088
63,Bethany England,eng ENG,FW,Chelsea,26,1994,19,10,993,11.0,6,9,6,0,0,0,0,0.54,0.82,1.36,0.54,1.36,5.4,5.4,4.7,10.1,0.49,0.42,0.92,0.49,0.92,Matches,ccb1bd8b
64,Magdalena Eriksson,se SWE,DF,Chelsea,26,1993,20,19,1715,19.1,1,0,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,2.9,2.9,0.7,3.5,0.15,0.04,0.19,0.15,0.19,Matches,bb454bb1
65,Gemma Evans,wls WAL,DF,Bristol City,23,1996,20,20,1800,20.0,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.2,0.2,0.3,0.5,0.01,0.01,0.03,0.01,0.03,Matches,58e461be
66,Lisa Evans,sct SCO,DFFW,Arsenal,28,1992,11,4,471,5.2,2,1,2,0,0,0,0,0.38,0.19,0.57,0.38,0.57,0.5,0.5,1.4,1.9,0.10,0.27,0.37,0.10,0.37,Matches,755ef87c
67,Marisa Ewers,de GER,MFDF,Aston Villa,31,1989,19,16,1303,14.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,eac6835d
68,Anna Filbey,wls WAL,DFMF,Tottenham,20,1999,5,3,238,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,1c116781
69,Megan Finnigan,eng ENG,DF,Everton,22,1998,22,22,1935,21.5,2,1,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,0.9,0.9,0.1,1.0,0.04,0.01,0.05,0.04,0.05,Matches,7de2938e
70,Jess Fishlock,wls WAL,MF,Reading,33,1987,19,18,1601,17.8,2,3,2,0,0,2,0,0.11,0.17,0.28,0.11,0.28,2.0,2.0,2.3,4.3,0.11,0.13,0.24,0.11,0.24,Matches,11cfa9d6
71,Grace Fisk,eng ENG,DF,West Ham,22,1998,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.03,0.00,0.03,0.03,0.03,Matches,3978f8a9
72,Cecilie Fiskerstrand,no NOR,GK,Brighton,24,1996,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2e2266ba
73,Gilly Flaherty,eng ENG,DF,West Ham,28,1991,21,21,1833,20.4,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches,c7cbc20d
74,Jessie Fleming,ca CAN,MFFW,Chelsea,22,1998,14,3,443,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.05,0.10,0.14,0.05,0.14,Matches,e47d2297
75,Emma Follis,eng ENG,FWMF,Aston Villa,28,1992,15,9,732,8.1,0,3,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,Matches,e5239596
76,Caitlin Foord,au AUS,FW,Arsenal,25,1994,21,15,1317,14.6,10,5,10,0,0,2,0,0.68,0.34,1.03,0.68,1.03,7.3,7.3,2.6,9.9,0.50,0.18,0.67,0.50,0.67,Matches,019544ff
77,Jorja Fox,,DF,Chelsea,16,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d9bf8d2e
78,Ella Franklin-Fraiture,eng ENG,DF,Aston Villa,23,1997,10,10,848,9.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.02,0.03,0.02,0.03,Matches,d80abd90
79,Ivana Fuso,br BRA,FWMF,Manchester Utd,19,2001,5,0,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.04,0.18,0.14,0.18,Matches,d2d4b1f4
80,Jeon Ga-eul,kr KOR,MFFW,Reading,31,1988,4,1,87,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a0e999a4
81,Leah Galton,eng ENG,FWDF,Manchester Utd,26,1994,17,15,1323,14.7,6,2,6,0,0,0,0,0.41,0.14,0.54,0.41,0.54,4.9,4.9,3.7,8.5,0.33,0.25,0.58,0.33,0.58,Matches,c3d37cec
82,Valérie Gauvin,fr FRA,FW,Everton,24,1996,15,10,811,9.0,5,1,3,2,2,0,0,0.55,0.11,0.67,0.33,0.44,3.9,2.3,1.4,3.8,0.43,0.16,0.59,0.26,0.42,Matches,85dedf13
83,Gabrielle George,eng ENG,DF,Everton,23,1997,7,4,403,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a706e82f
84,Lee Geum-min,kr KOR,FW,Brighton,26,1994,17,12,1032,11.5,3,0,3,0,0,2,0,0.26,0.00,0.26,0.26,0.26,1.5,1.5,0.6,2.1,0.13,0.05,0.18,0.13,0.18,Matches,3137ff06
85,Felicity Gibbons,eng ENG,DF,Brighton,26,1994,13,12,1086,12.1,0,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,0.7,1.0,0.02,0.06,0.08,0.02,0.08,Matches,6357bee3
86,Hannah Godfrey,sct SCO,DF,Tottenham,23,1997,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,22955271
87,Kit Graham,eng ENG,MFFW,Tottenham,24,1995,17,13,1104,12.3,1,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,1.4,1.4,1.8,3.2,0.12,0.15,0.26,0.12,0.26,Matches,7cdb3c2e
88,Lucy Graham,sct SCO,MFFW,Everton,23,1996,19,13,1248,13.9,5,3,4,1,2,0,0,0.36,0.22,0.58,0.29,0.50,3.9,2.3,0.6,2.9,0.28,0.04,0.32,0.17,0.21,Matches,1691b0ef
89,Abbi Grant,sct SCO,MF,Birmingham City,24,1995,2,0,38,0.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.61,0.00,0.61,0.61,0.61,Matches,a78931f2
90,Ruby Grant,eng ENG,MFFW,West Ham,18,2002,6,2,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.18,0.03,0.21,0.18,0.21,Matches,fc1149cc
91,Josephine Green,wls WAL,MF,Tottenham,27,1993,14,11,1003,11.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05,Matches,90ca21de
92,Kayleigh Green,wls WAL,FWMF,Brighton,32,1988,16,13,1167,13.0,0,1,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.5,1.3,0.06,0.04,0.10,0.06,0.10,Matches,a40b9d09
93,Mollie Green,eng ENG,MF,Birmingham City,22,1997,17,11,956,10.6,1,1,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,1.2,1.2,0.2,1.4,0.11,0.02,0.13,0.11,0.13,Matches,4f922d2b
94,Alex Greenwood,eng ENG,DF,Manchester City,26,1993,18,17,1556,17.3,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,3.0,3.4,0.03,0.17,0.20,0.03,0.20,Matches,d935ee5a
95,Freya Gregory,eng ENG,MFDF,Aston Villa,17,2003,9,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.6,0.6,0.1,0.7,0.15,0.01,0.16,0.15,0.16,Matches,08ebd353
96,Jackie Groenen,nl NED,MF,Manchester Utd,25,1994,22,18,1627,18.1,0,3,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.9,0.9,3.2,4.1,0.05,0.18,0.23,0.05,0.23,Matches,6698c9f0
97,Malin Gut,ch SUI,MF,Arsenal,19,2000,16,7,671,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.05,0.04,0.08,0.05,0.08,Matches,10e421a3
98,Natalie Haigh,eng ENG,DF,Aston Villa,20,1999,18,18,1570,17.4,1,1,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,0.1,0.1,0.5,0.6,0.00,0.03,0.03,0.00,0.03,Matches,85d307f6
99,Benedicte Håland,no NOR,GK,Bristol City,22,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7a6a40ee
100,Hannah Hampton,eng ENG,GK,Birmingham City,19,2000,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,87f3ffa4
101,Kirsty Hanson,sct SCO,FW,Manchester Utd,22,1998,20,11,1076,12.0,5,2,5,0,0,0,0,0.42,0.17,0.59,0.42,0.59,3.3,3.3,1.9,5.2,0.28,0.16,0.44,0.28,0.44,Matches,2457a6c7
102,Nadine Hanssen,nl NED,MFFW,Aston Villa,26,1993,16,9,833,9.3,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.5,1.8,0.14,0.06,0.19,0.14,0.19,Matches,02e0dfae
103,Pernille Harder,dk DEN,MFFW,Chelsea,27,1992,22,15,1286,14.3,9,3,8,1,1,0,0,0.63,0.21,0.84,0.56,0.77,7.3,6.5,2.8,9.3,0.51,0.19,0.71,0.46,0.65,Matches,363b99a4
104,Natasha Harding,wls WAL,FWDF,Reading,31,1989,22,22,1917,21.3,3,3,3,0,0,4,0,0.14,0.14,0.28,0.14,0.28,2.5,2.5,2.5,5.1,0.12,0.12,0.24,0.12,0.24,Matches,8d6d0bf1
105,Emma Harries,eng ENG,FW,Reading,18,2002,16,7,676,7.5,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.4,1.2,0.11,0.05,0.16,0.11,0.16,Matches,c17af8e0
106,Martha Harris,eng ENG,DF,Manchester Utd,25,1994,7,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches,5343ce75
107,Abigail Harrison,sct SCO,FWMF,Bristol City,22,1997,20,8,869,9.7,2,2,2,0,0,0,0,0.21,0.21,0.41,0.21,0.41,1.1,1.1,0.6,1.7,0.12,0.06,0.18,0.12,0.18,Matches,f39ee5a1
108,Kerys Harrop,eng ENG,DF,Tottenham,29,1990,14,12,1092,12.1,1,0,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,0.2,0.2,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches,c6966699
109,Shania Hayles,jm JAM,FWMF,Aston Villa,20,1999,19,13,955,10.6,2,1,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,1.9,1.9,1.4,3.3,0.17,0.13,0.31,0.17,0.31,Matches,6ad4cec9
110,Sophie Haywood,eng ENG,MFDF,Aston Villa,24,1996,8,3,323,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,396da0c5
